Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
AZ_B3	(1.0, 39.67209225321532)	(2.0, 12.032668979935439)	(3.0, 5.774438468525709)	(4.0, 3.5793088578790218)	(5.0, 2.420000450139403)	(6.0, 1.761624011082074)	(7.0, 1.4527202143402216)	(8.0, 1.1497114691829193)	(9.0, 0.952458220996693)	('>10', 10.369031398054057)	('>50', 3.204453357373)	('>100', 8.587374261015205)	('>500', 4.06082628409933)	('>1k', 4.13901461850723)	('>5k', 0.34168454635093287)	('>10k+', 0.5025926093034955)
AZ_B5	(1.0, 42.16187723095495)	(2.0, 12.884132165702475)	(3.0, 6.1578439942745025)	(4.0, 3.6578424935684555)	(5.0, 2.4989734411020232)	(6.0, 1.8364775207456072)	(7.0, 1.4995044242929203)	(8.0, 1.2480298851000873)	(9.0, 0.9896920046830799)	('>10', 10.39141917395017)	('>50', 3.033432699742104)	('>100', 8.357889620951706)	('>500', 2.3432020985800563)	('>1k', 1.9894141156987517)	('>5k', 0.37630646682210656)	('>10k+', 0.5739626638309105)
AZ_B8	(1.0, 45.60510208913573)	(2.0, 11.746530611711858)	(3.0, 5.358977969504314)	(4.0, 3.2086691437454866)	(5.0, 2.278534999014136)	(6.0, 1.8292669032277984)	(7.0, 1.4644248547870027)	(8.0, 1.187317982211617)	(9.0, 1.048742770274435)	('>10', 12.492967198005676)	('>50', 4.289456820851346)	('>100', 6.8644197350586635)	('>500', 0.9186868193260869)	('>1k', 0.7869290579614161)	('>5k', 0.9199730451844363)	('>10k+', 0.0)
AZ_B9	(1.0, 50.64351321049435)	(2.0, 9.626423079086381)	(3.0, 4.0243889114768585)	(4.0, 2.3693308193960103)	(5.0, 1.6005624556187221)	(6.0, 1.3107188544726691)	(7.0, 0.9718154447468456)	(8.0, 0.8503861711198385)	(9.0, 0.6937428284747342)	('>10', 10.353915480504321)	('>50', 4.0859033536667395)	('>100', 9.692934170129355)	('>500', 2.176426275964542)	('>1k', 1.5999389448486567)	('>5k', 0.0)	('>10k+', 0.0)
AZ_C1	(1.0, 45.434302666364154)	(2.0, 13.31476253018986)	(3.0, 6.031439396782174)	(4.0, 3.4299432613916374)	(5.0, 2.266143893282866)	(6.0, 1.5828538898290496)	(7.0, 1.3169107861329488)	(8.0, 0.9543962748992059)	(9.0, 0.7601651583832911)	('>10', 8.711242831897408)	('>50', 3.2431204929434845)	('>100', 8.621647326931225)	('>500', 2.230124135925198)	('>1k', 0.9826590656824286)	('>5k', 0.4328217415366687)	('>10k+', 0.6874665478284104)
AZ_C10	(1.0, 51.56809971681741)	(2.0, 11.570006424898747)	(3.0, 4.658120480447623)	(4.0, 2.4084369267156194)	(5.0, 1.6365011968022967)	(6.0, 1.1832856233277118)	(7.0, 0.9799761533332668)	(8.0, 0.8197014220230905)	(9.0, 0.715103480974395)	('>10', 10.007421405384317)	('>50', 4.688899479241008)	('>100', 6.770412163294988)	('>500', 1.3671331174414916)	('>1k', 1.2344485629782318)	('>5k', 0.3924538463198184)	('>10k+', 0.0)
AZ_C11	(1.0, 42.06622804744339)	(2.0, 11.568571224544039)	(3.0, 4.551521846196109)	(4.0, 2.2750934150473663)	(5.0, 1.473372652237223)	(6.0, 0.9528004750636875)	(7.0, 0.7401039705648895)	(8.0, 0.6044972096765755)	(9.0, 0.5285927938258053)	('>10', 7.644004730804389)	('>50', 3.0650852027318107)	('>100', 6.221459569595937)	('>500', 4.392944560833309)	('>1k', 11.389872976545048)	('>5k', 1.5137073790130284)	('>10k+', 1.0121439458773516)
AZ_C2	(1.0, 48.7264167451861)	(2.0, 11.415548903530926)	(3.0, 4.782832688626982)	(4.0, 2.748123237111087)	(5.0, 1.9708355912992703)	(6.0, 1.522110910267098)	(7.0, 1.128129803060385)	(8.0, 0.9673462533574533)	(9.0, 0.8312593685551647)	('>10', 10.486692278085233)	('>50', 4.05070092670574)	('>100', 8.04759262564976)	('>500', 1.8058619648006873)	('>1k', 0.9697278730715573)	('>5k', 0.5468208306925533)	('>10k+', 0.0)
AZ_C3	(1.0, 49.28769842841654)	(2.0, 13.782297490208823)	(3.0, 6.282607500218422)	(4.0, 3.6757803353748217)	(5.0, 2.511556439951521)	(6.0, 1.8247298435108952)	(7.0, 1.4764361554237388)	(8.0, 1.1230849802974705)	(9.0, 0.9294261299079892)	('>10', 9.884972053434666)	('>50', 2.5776626988290325)	('>100', 4.237122603510941)	('>500', 0.7622468514842926)	('>1k', 0.5875811139972804)	('>5k', 0.7257684378539376)	('>10k+', 0.3310289375796276)
AZ_C4	(1.0, 47.91318765556742)	(2.0, 10.97704313831743)	(3.0, 4.199804165626467)	(4.0, 2.213585807159986)	(5.0, 1.522275209402886)	(6.0, 1.127433246020838)	(7.0, 0.8680782383025533)	(8.0, 0.7065607366240924)	(9.0, 0.6052062085467927)	('>10', 9.662334822483741)	('>50', 4.484842238738241)	('>100', 8.93106755185187)	('>500', 3.1511444567733222)	('>1k', 2.922421527075524)	('>5k', 0.7150149975088592)	('>10k+', 0.0)
AZ_C5	(1.0, 46.33163114002936)	(2.0, 12.751198830831012)	(3.0, 5.676723260725795)	(4.0, 3.2822318025600636)	(5.0, 2.1946996716008114)	(6.0, 1.5208688023692722)	(7.0, 1.1944748348502718)	(8.0, 0.999178169619973)	(9.0, 0.8498887993792547)	('>10', 9.485140362672063)	('>50', 3.528647142559748)	('>100', 7.745777184342593)	('>500', 2.3381995652872374)	('>1k', 1.2920654316652074)	('>5k', 0.8092750015072824)	('>10k+', 0.0)
AZ_C8	(1.0, 46.331493275355626)	(2.0, 12.217022313524318)	(3.0, 5.488363734096737)	(4.0, 3.1141400422314103)	(5.0, 2.128169846809771)	(6.0, 1.6268839832457278)	(7.0, 1.3264608139599394)	(8.0, 1.0337440101403774)	(9.0, 0.9340234593932952)	('>10', 10.283465186916482)	('>50', 3.5993750287956203)	('>100', 8.173067326290383)	('>500', 2.2097219584860404)	('>1k', 0.9203114970408528)	('>5k', 0.613757523713456)	('>10k+', 0.0)
AZ_C9	(1.0, 62.55827677146238)	(2.0, 12.234608763195137)	(3.0, 5.113266621162775)	(4.0, 2.95563010995584)	(5.0, 1.8677442689312416)	(6.0, 1.5600342837302739)	(7.0, 1.1984949054742566)	(8.0, 0.9979326591239193)	(9.0, 0.7823979681428067)	('>10', 8.305211600612855)	('>50', 1.2734936844476736)	('>100', 0.40984663584533715)	('>500', 0.10640333894286853)	('>1k', 0.6366583889727266)	('>5k', 0.0)	('>10k+', 0.0)
AZ_D12	(1.0, 52.574467130304136)	(2.0, 11.413490315770847)	(3.0, 4.090775872424976)	(4.0, 2.0962289942086483)	(5.0, 1.268553792388648)	(6.0, 0.960579295145801)	(7.0, 0.8678545160328371)	(8.0, 0.7169145112330177)	(9.0, 0.6300972354492123)	('>10', 8.490410928124211)	('>50', 2.906137292998473)	('>100', 7.604870692730856)	('>500', 3.173215477105365)	('>1k', 2.6274379099751304)	('>5k', 0.5789660361078448)	('>10k+', 0.0)
AZ_D4	(1.0, 59.72452436516491)	(2.0, 10.876511942520876)	(3.0, 4.226859180602746)	(4.0, 2.3444022443234656)	(5.0, 1.5686284194832738)	(6.0, 1.1784405276672556)	(7.0, 0.8934644792596252)	(8.0, 0.7008834749597777)	(9.0, 0.6482982635964003)	('>10', 8.04408383866229)	('>50', 3.5203828114748323)	('>100', 5.053087251420679)	('>500', 0.41648377306823353)	('>1k', 0.8039494277956241)	('>5k', 0.0)	('>10k+', 0.0)
AZ_D6	(1.0, 63.62931459630117)	(2.0, 12.008810838594027)	(3.0, 4.163875652427882)	(4.0, 2.20636689705552)	(5.0, 1.337145462592973)	(6.0, 1.010380046041928)	(7.0, 0.693504443324559)	(8.0, 0.5571195666848571)	(9.0, 0.4912844584854653)	('>10', 6.949027460535831)	('>50', 2.441153989993563)	('>100', 3.512028648489382)	('>500', 0.07005832664709082)	('>1k', 0.9299296128257426)	('>5k', 0.0)	('>10k+', 0.0)
AZ_D7	(1.0, 48.959256974304644)	(2.0, 10.671861508723838)	(3.0, 4.554156733312809)	(4.0, 2.6229213432603307)	(5.0, 1.7766504237150018)	(6.0, 1.3281756455762497)	(7.0, 1.0745481990159864)	(8.0, 0.9011310257711884)	(9.0, 0.7897883581536411)	('>10', 11.006482393625097)	('>50', 4.454598590014417)	('>100', 8.424195439829806)	('>500', 1.9941776292622757)	('>1k', 1.4420557354347798)	('>5k', 0.0)	('>10k+', 0.0)
AZ_D8	(1.0, 57.66203371766956)	(2.0, 10.344941495791298)	(3.0, 3.833281491139931)	(4.0, 2.0916725608736906)	(5.0, 1.412277427967361)	(6.0, 1.1081006342238604)	(7.0, 0.877852214419281)	(8.0, 0.7715889692668295)	(9.0, 0.6557758293027266)	('>10', 8.35113384393668)	('>50', 2.2881812440787916)	('>100', 5.890635385649615)	('>500', 2.3500602362971112)	('>1k', 2.3624649493832424)	('>5k', 0.0)	('>10k+', 0.0)
AZ_E12	(1.0, 44.051446292430676)	(2.0, 12.97410909188713)	(3.0, 5.806995580567599)	(4.0, 3.1530585526295813)	(5.0, 2.123737485400679)	(6.0, 1.4940343553477977)	(7.0, 1.1270674040557336)	(8.0, 0.9772148096781823)	(9.0, 0.7432711621062391)	('>10', 9.254619158930574)	('>50', 3.4246051345375705)	('>100', 9.255378182605975)	('>500', 2.6199867352966324)	('>1k', 1.8920581366777056)	('>5k', 1.10241791784782)	('>10k+', 0.0)
AZ_E2	(1.0, 56.395934958997195)	(2.0, 11.479184711482645)	(3.0, 4.78980192233824)	(4.0, 2.7246045987221477)	(5.0, 1.885022136305103)	(6.0, 1.3877906538290552)	(7.0, 1.1342463387667334)	(8.0, 0.903895924714955)	(9.0, 0.8109543097024025)	('>10', 10.350129293136419)	('>50', 3.344001964865161)	('>100', 3.299885983975677)	('>500', 0.6572477625652133)	('>1k', 0.8372994405990668)	('>5k', 0.0)	('>10k+', 0.0)
AZ_E3	(1.0, 49.22981266209015)	(2.0, 12.467665771141522)	(3.0, 5.29695811104716)	(4.0, 3.1809305740766436)	(5.0, 2.2619585118341448)	(6.0, 1.6424240536997734)	(7.0, 1.2689410881181222)	(8.0, 1.0631377259769192)	(9.0, 0.9100485481121804)	('>10', 10.473860462324689)	('>50', 2.9681073417602324)	('>100', 6.409405180650269)	('>500', 1.6194489370124676)	('>1k', 1.2073010321557653)	('>5k', 0.0)	('>10k+', 0.0)
AZ_E4	(1.0, 59.808443763268)	(2.0, 11.695888240570294)	(3.0, 4.360989095160795)	(4.0, 2.2985810718989144)	(5.0, 1.5662202094217779)	(6.0, 1.1461830403429125)	(7.0, 0.9029636971668561)	(8.0, 0.7593779055834251)	(9.0, 0.6698254633650829)	('>10', 7.490156622755202)	('>50', 2.7901704497341133)	('>100', 4.597821060627105)	('>500', 0.574649855739155)	('>1k', 0.9914645790610228)	('>5k', 0.34726494530531465)	('>10k+', 0.0)
AZ_E5	(1.0, 46.24804172843464)	(2.0, 12.837930872747066)	(3.0, 5.708434892269439)	(4.0, 3.289924585666847)	(5.0, 2.2389548295302335)	(6.0, 1.6481293052819368)	(7.0, 1.1818550775818413)	(8.0, 1.017613703391421)	(9.0, 0.765647184972056)	('>10', 8.690625122105901)	('>50', 3.2835335379415196)	('>100', 8.41397011404489)	('>500', 2.4824527041007327)	('>1k', 1.6251431653440962)	('>5k', 0.5677431765873456)	('>10k+', 0.0)
AZ_E7	(1.0, 47.544688802776406)	(2.0, 12.277822506504519)	(3.0, 5.304500968365049)	(4.0, 2.951665734974928)	(5.0, 2.005721122939094)	(6.0, 1.5034585651822414)	(7.0, 1.10237683750426)	(8.0, 0.9278796354074346)	(9.0, 0.7703610141190683)	('>10', 9.884939023353374)	('>50', 3.910831185524736)	('>100', 6.890862112419062)	('>500', 1.839059608902013)	('>1k', 2.107190706805859)	('>5k', 0.9786421752219492)	('>10k+', 0.0)
AZ_E8	(1.0, 49.66640264362191)	(2.0, 12.216700128933283)	(3.0, 5.369289614981587)	(4.0, 3.0130691543588783)	(5.0, 2.1226446976904225)	(6.0, 1.5791296333170102)	(7.0, 1.2307591125585435)	(8.0, 0.9650093680807109)	(9.0, 0.902965695876198)	('>10', 11.22276114004366)	('>50', 4.375505863675984)	('>100', 5.7972163220660375)	('>500', 0.6094355000590751)	('>1k', 0.6603392619504139)	('>5k', 0.2687718627862691)	('>10k+', 0.0)
AZ_F1	(1.0, 49.12976267094674)	(2.0, 13.418591580966313)	(3.0, 5.742331345639515)	(4.0, 2.906654866537646)	(5.0, 1.8636583645481657)	(6.0, 1.3972971601851232)	(7.0, 1.0120781299111226)	(8.0, 0.770935232334093)	(9.0, 0.6549048653207991)	('>10', 7.834501148931959)	('>50', 2.9978538960479537)	('>100', 7.368057699226481)	('>500', 2.1326911989069828)	('>1k', 1.9350933948079505)	('>5k', 0.8355884456891031)	('>10k+', 0.0)
AZ_F2	(1.0, 59.100738311765)	(2.0, 11.581755081029648)	(3.0, 4.090753653857307)	(4.0, 2.296471811157593)	(5.0, 1.403188261733293)	(6.0, 1.0491434003661804)	(7.0, 0.797664113581857)	(8.0, 0.67997564098332)	(9.0, 0.6014152702070779)	('>10', 8.99354297558049)	('>50', 3.544339328017853)	('>100', 4.5371757654809235)	('>500', 0.30344667271721715)	('>1k', 1.020389713522218)	('>5k', 0.0)	('>10k+', 0.0)
AZ_F4	(1.0, 51.892911377713034)	(2.0, 12.83107708493433)	(3.0, 5.35320460920369)	(4.0, 3.1222218227025413)	(5.0, 2.0755801904950926)	(6.0, 1.5233867865685309)	(7.0, 1.1932214228920492)	(8.0, 0.9180408824567653)	(9.0, 0.739604719194231)	('>10', 8.81704445188722)	('>50', 3.230260718331919)	('>100', 5.762172735817399)	('>500', 1.2604205585846777)	('>1k', 0.7038188399136841)	('>5k', 0.5770337993048926)	('>10k+', 0.0)
AZ_F5	(1.0, 56.69533888178844)	(2.0, 14.978827390163257)	(3.0, 5.871039174187674)	(4.0, 2.983633653885261)	(5.0, 1.8210852693124502)	(6.0, 1.2569722024216385)	(7.0, 0.9248831876305694)	(8.0, 0.7677274786585536)	(9.0, 0.6674365484882603)	('>10', 7.010434490828684)	('>50', 1.952493820803199)	('>100', 1.967076332099391)	('>500', 0.2230544312566567)	('>1k', 1.1685187798922312)	('>5k', 1.711478358583737)	('>10k+', 0.0)
AZ_F6	(1.0, 33.98536538342407)	(2.0, 9.347704074471116)	(3.0, 4.2662969251694)	(4.0, 2.606160321859264)	(5.0, 1.860385661632473)	(6.0, 1.4169195634483247)	(7.0, 1.1443926073542565)	(8.0, 0.9807622862855603)	(9.0, 0.8692038868319995)	('>10', 12.151113466852143)	('>50', 4.802229024100917)	('>100', 12.324495023492105)	('>500', 5.835091042232256)	('>1k', 6.4284034744829075)	('>5k', 0.5501616657330479)	('>10k+', 1.4313155926301346)
AZ_F7	(1.0, 39.76840680661792)	(2.0, 10.997797373299349)	(3.0, 4.97060255294177)	(4.0, 2.961240983072296)	(5.0, 2.0536709335168695)	(6.0, 1.513504709338622)	(7.0, 1.2088335659468843)	(8.0, 0.94847673857018)	(9.0, 0.7949756734355388)	('>10', 10.302510223503175)	('>50', 4.589656866783972)	('>100', 11.195215091772939)	('>500', 3.7325535749825494)	('>1k', 4.096519233091888)	('>5k', 0.5912310704201021)	('>10k+', 0.274804602705866)
AZ_F8	(1.0, 53.009081501988376)	(2.0, 12.578031835340939)	(3.0, 5.263113262843052)	(4.0, 3.0523279720161427)	(5.0, 2.0367153187500877)	(6.0, 1.4562646908446826)	(7.0, 1.1152884982353366)	(8.0, 0.9886479859904858)	(9.0, 0.8572929384553575)	('>10', 9.374036619845569)	('>50', 3.491665150575346)	('>100', 5.130157568063131)	('>500', 0.682601932872001)	('>1k', 0.9647747241795316)	('>5k', 0.0)	('>10k+', 0.0)
AZ_G1	(1.0, 45.817358786685574)	(2.0, 14.282428213060447)	(3.0, 6.481942334485007)	(4.0, 3.850033684841045)	(5.0, 2.5265310694906495)	(6.0, 1.849351119492285)	(7.0, 1.4881384521192709)	(8.0, 1.2203556445966517)	(9.0, 0.9875659731841939)	('>10', 10.788222852744077)	('>50', 3.6200101739491926)	('>100', 4.922313193960845)	('>500', 0.7937094852682982)	('>1k', 0.6086201374804782)	('>5k', 0.7634188786419506)	('>10k+', 0.0)
AZ_G3	(1.0, 53.375969980456816)	(2.0, 12.348116311767091)	(3.0, 4.98805927591741)	(4.0, 2.793145178779602)	(5.0, 1.8946124993250146)	(6.0, 1.3698415042844951)	(7.0, 1.0373967779547504)	(8.0, 0.8537898156397405)	(9.0, 0.7604324099322344)	('>10', 9.255921531590431)	('>50', 3.493307711170464)	('>100', 5.826688813687748)	('>500', 0.8321257911840385)	('>1k', 1.170592398310155)	('>5k', 0.0)	('>10k+', 0.0)
AZ_G5	(1.0, 55.99188896893613)	(2.0, 14.2037374952567)	(3.0, 5.297853085601575)	(4.0, 2.599797764707183)	(5.0, 1.627065766725388)	(6.0, 1.0748354322825662)	(7.0, 0.8205806827389651)	(8.0, 0.6651781255274649)	(9.0, 0.5331930969796417)	('>10', 6.961612098829619)	('>50', 2.0725779290724646)	('>100', 4.464290066966813)	('>500', 0.7892534953364706)	('>1k', 1.8505377247372286)	('>5k', 1.0475982663018033)	('>10k+', 0.0)
AZ_G6	(1.0, 39.71941878775802)	(2.0, 11.699857909970664)	(3.0, 5.357746466100374)	(4.0, 3.2366096102246757)	(5.0, 2.172231398226868)	(6.0, 1.6317208307420814)	(7.0, 1.273031692115455)	(8.0, 1.0350721507507792)	(9.0, 0.9143932399089947)	('>10', 11.185043218753865)	('>50', 4.346355097277703)	('>100', 9.780064666086323)	('>500', 3.781530684921862)	('>1k', 2.972118635446818)	('>5k', 0.5333515695306191)	('>10k+', 0.3614540421849213)
AZ_H10	(1.0, 50.054603246663966)	(2.0, 11.124271893608647)	(3.0, 4.762917571698521)	(4.0, 2.8388704155538402)	(5.0, 2.1555315612485977)	(6.0, 1.6206521729144705)	(7.0, 1.3789441623060399)	(8.0, 1.1564355464401133)	(9.0, 0.9451665693474895)	('>10', 12.487712107428129)	('>50', 4.018430363706871)	('>100', 4.894157883180193)	('>500', 0.8318255226164849)	('>1k', 0.6991183184700309)	('>5k', 1.0313626648165912)	('>10k+', 0.0)
AZ_H11	(1.0, 44.36163662023061)	(2.0, 13.43352659976862)	(3.0, 6.19360155108835)	(4.0, 3.3637348526335376)	(5.0, 2.165807646434705)	(6.0, 1.6258021770815447)	(7.0, 1.2239555984967951)	(8.0, 1.0422863894317962)	(9.0, 0.8591053504039585)	('>10', 10.389596354202595)	('>50', 3.9242327924964555)	('>100', 7.330117238216377)	('>500', 1.8073694682680879)	('>1k', 1.4722794081792552)	('>5k', 0.8069479530672836)	('>10k+', 0.0)
HP1502401_A10	(1.0, 35.20240535290664)	(2.0, 11.09630374134986)	(3.0, 5.297079374262156)	(4.0, 2.920890878731049)	(5.0, 1.9332765613585712)	(6.0, 1.4539157347563265)	(7.0, 1.1396628743535027)	(8.0, 0.9687400988931903)	(9.0, 0.7894240087713676)	('>10', 12.003095773076993)	('>50', 5.263160888484666)	('>100', 10.431057888167357)	('>500', 3.5144263793137718)	('>1k', 5.353277759553421)	('>5k', 0.8630269309257933)	('>10k+', 1.7702557550952922)
HP1502401_A14	(1.0, 49.9586621809293)	(2.0, 9.94596854309687)	(3.0, 4.3315693907789585)	(4.0, 2.703228734736997)	(5.0, 1.8271062104409357)	(6.0, 1.5117070130662738)	(7.0, 1.2186300632136742)	(8.0, 1.081877088724368)	(9.0, 0.9086421325517412)	('>10', 12.208893352707829)	('>50', 4.807859902604906)	('>100', 7.712616324592811)	('>500', 1.2364463119885956)	('>1k', 0.5467927505667736)	('>5k', 0.0)	('>10k+', 0.0)
HP1502401_A17	(1.0, 51.060432202541996)	(2.0, 11.199576956208244)	(3.0, 4.593273335782329)	(4.0, 2.5274378424786823)	(5.0, 1.7576784459153654)	(6.0, 1.2928902852289255)	(7.0, 1.0199939097139505)	(8.0, 0.9220131512332987)	(9.0, 0.7872614834270791)	('>10', 11.075630991630351)	('>50', 4.880534499710624)	('>100', 7.32608948917102)	('>500', 0.48405004802085067)	('>1k', 1.073137358937315)	('>5k', 0.0)	('>10k+', 0.0)
HP1502401_A18	(1.0, 43.66898709238349)	(2.0, 11.72817997070253)	(3.0, 4.619769747845419)	(4.0, 2.539447204001887)	(5.0, 1.5360668023405852)	(6.0, 1.1190725083625075)	(7.0, 0.9133029746744289)	(8.0, 0.7090485943221576)	(9.0, 0.6677168427184794)	('>10', 8.552454770935956)	('>50', 3.1418073663611157)	('>100', 6.935757131170151)	('>500', 4.56202911567287)	('>1k', 8.265781910284122)	('>5k', 1.0405779682242635)	('>10k+', 0.0)
HP1502401_A2	(1.0, 37.183570695973984)	(2.0, 10.989640800983766)	(3.0, 4.898822779055613)	(4.0, 2.7717597436451533)	(5.0, 1.7561355164922774)	(6.0, 1.34676674505086)	(7.0, 1.0061816209532985)	(8.0, 0.862245419337853)	(9.0, 0.7333350771759163)	('>10', 8.92354756746919)	('>50', 3.7326574810018456)	('>100', 9.330570089531518)	('>500', 3.7413887632941276)	('>1k', 10.75019663771595)	('>5k', 1.9731810623185582)	('>10k+', 0.0)
HP1502401_A22	(1.0, 47.0324640685902)	(2.0, 12.892235654575842)	(3.0, 5.840226282818784)	(4.0, 3.419260387204639)	(5.0, 2.329055910968813)	(6.0, 1.7616488825453964)	(7.0, 1.3819167528506837)	(8.0, 1.1334955947451326)	(9.0, 0.9814757759519952)	('>10', 11.78769603977609)	('>50', 3.9737748406577214)	('>100', 5.656647144630038)	('>500', 0.6762209217165096)	('>1k', 0.31916963884978083)	('>5k', 0.8147121041184072)	('>10k+', 0.0)
HP1502401_A24	(1.0, 37.580546643348036)	(2.0, 11.157636439383472)	(3.0, 5.048922595368439)	(4.0, 2.7290279867218894)	(5.0, 1.8136403272351345)	(6.0, 1.3425059782520374)	(7.0, 1.0319968854618988)	(8.0, 0.8420977262787201)	(9.0, 0.7286743690763826)	('>10', 9.018350017362756)	('>50', 3.3740252542470697)	('>100', 7.411914076392653)	('>500', 3.6464234102575523)	('>1k', 12.889685906303644)	('>5k', 1.3845523843103484)	('>10k+', 0.0)
HP1502401_A4	(1.0, 46.15076589904661)	(2.0, 9.776336690409783)	(3.0, 3.8928023027126035)	(4.0, 2.2292153770106977)	(5.0, 1.4579036055198333)	(6.0, 1.1763311438895778)	(7.0, 0.8755730715591797)	(8.0, 0.7713602269835088)	(9.0, 0.6273992644187893)	('>10', 8.547178822121449)	('>50', 3.970808972823883)	('>100', 11.44714806744108)	('>500', 4.532606158228762)	('>1k', 3.5945937674876576)	('>5k', 0.9499766303465819)	('>10k+', 0.0)
