Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
AZ_B12 - polya	(1, 0.028924163415776777)	(2, 0.032426805721566206)	(3, 0.03617572756448145)	(4, 0.0415665129882355)	(5, 0.05347002394931676)	(6, 0.0609131388491193)	(7, 0.06611237352177549)	(8, 0.07229672634293495)	(9, 0.07938410413355575)	(10, 0.1011114321866558)	(11, 0.12760016462418838)	(12, 0.1691393132194099)	(13, 0.2062180657533527)	(14, 0.24838659538789573)	(15, 0.29884653610567474)	(16, 0.3443808860809373)	(17, 0.3834298749118867)	(18, 0.429347326389345)	(19, 0.4663439857442458)	(20, 0.5049551442869715)	(21, 0.5454818103406758)	(22, 0.581985910621325)	(23, 0.6232240508933927)	(24, 0.666350334283425)	(25, 0.7166734530361342)	(26, 0.757720042557104)	(27, 0.7900647550996283)	(28, 0.8255290084457463)	(29, 0.8501295977653142)	(30, 0.8794915914693147)	(31, 0.9068286200902806)	(32, 0.9353423176108476)
AZ_B2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 6.751920921502168e-05)	(5, 6.751920921502168e-05)	(6, 6.751920921502168e-05)	(7, 6.751920921502168e-05)	(8, 6.751920921502168e-05)	(9, 0.000202557627645065)	(10, 0.00033759604607510837)	(11, 0.0004726344645051517)	(12, 0.0005401536737201734)	(13, 0.0005401536737201734)	(14, 0.0006076728829351951)	(15, 0.0006076728829351951)	(16, 0.0007427113013652384)	(17, 0.0009452689290103034)	(18, 0.0009452689290103034)	(19, 0.0010127881382253252)	(20, 0.0012828649750854118)	(21, 0.0015529418119454984)	(22, 0.002228133904095715)	(23, 0.003916114134471257)	(24, 0.007359593804437362)	(25, 0.013031207378499183)	(26, 0.023294127179182476)	(27, 0.08446653072799211)	(28, 0.19560314909591778)	(29, 0.3261852997177697)	(30, 0.47189175320378646)	(31, 0.7635747370126801)	(32, 1.1735513753662916)
AZ_B2 - polya	(1, 0.03976881422764777)	(2, 0.04503531254641946)	(3, 0.049896695609901016)	(4, 0.0573238086235534)	(5, 0.06988238153754743)	(6, 0.07886243636314531)	(7, 0.08541179965700242)	(8, 0.09108341323106424)	(9, 0.09992842963823208)	(10, 0.1261258828136605)	(11, 0.15725223826178547)	(12, 0.20937706777578222)	(13, 0.2542098226945566)	(14, 0.30950805504165935)	(15, 0.37824261002255144)	(16, 0.4434661661242624)	(17, 0.4905945741563475)	(18, 0.5444073839007197)	(19, 0.588902542773419)	(20, 0.6363010276423643)	(21, 0.6826192051638691)	(22, 0.7278570753379336)	(23, 0.7772136172741145)	(24, 0.8308238693908417)	(25, 0.8867297746208797)	(26, 0.9339932210713948)	(27, 0.9724116511147421)	(28, 1.0203502896574075)	(29, 1.0518817603608226)	(30, 1.0848986536669682)	(31, 1.1169027588348885)	(32, 1.1480291142830135)
AZ_B3 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 4.319704808652196e-05)	(10, 8.639409617304392e-05)	(11, 0.0001943867163893488)	(12, 0.0004967660529950025)	(13, 0.0005183645770382635)	(14, 0.0005831601491680465)	(15, 0.0006047586732113074)	(16, 0.0006695542453410904)	(17, 0.0007775468655573952)	(18, 0.0008207439136439172)	(19, 0.0008423424376871782)	(20, 0.001036729154076527)	(21, 0.0012311158704658759)	(22, 0.0017062833994176173)	(23, 0.0025270273130615344)	(24, 0.004622084145257849)	(25, 0.0077754686555739526)	(26, 0.014967777161979858)	(27, 0.057819248863809646)	(28, 0.14062799004567225)	(29, 0.23695740727861622)	(30, 0.3404143374458363)	(31, 0.5667668694192114)	(32, 0.8838763994223691)
AZ_B3 - polya	(1, 0.018488336581031398)	(2, 0.020173021456405756)	(3, 0.022656851721380766)	(4, 0.02667417719342731)	(5, 0.033866485699833214)	(6, 0.038618160989350635)	(7, 0.04194433369201282)	(8, 0.04574567392362675)	(9, 0.049698203823543514)	(10, 0.06317568282653836)	(11, 0.07870502161364301)	(12, 0.10246339806123009)	(13, 0.12773367119184542)	(14, 0.1550342055825273)	(15, 0.1868056344501642)	(16, 0.21823148693310893)	(17, 0.2446032847899306)	(18, 0.27816739115315814)	(19, 0.30386963476463874)	(20, 0.33363240089625235)	(21, 0.3628768024508277)	(22, 0.3903933220819422)	(23, 0.41972411773269064)	(24, 0.451949115605236)	(25, 0.48996251792137535)	(26, 0.5212371807360172)	(27, 0.5465506509147191)	(28, 0.5743047543103095)	(29, 0.5973935765125554)	(30, 0.6225558570229545)	(31, 0.6464006275667146)	(32, 0.6714981125049838)
AZ_B5 - nextera_transposase_sequence	(1, 0.0)	(2, 2.6952383493605682e-05)	(3, 2.6952383493605682e-05)	(4, 2.6952383493605682e-05)	(5, 2.6952383493605682e-05)	(6, 2.6952383493605682e-05)	(7, 2.6952383493605682e-05)	(8, 2.6952383493605682e-05)	(9, 5.3904766987211363e-05)	(10, 0.00013476191746802842)	(11, 0.00021561906794884545)	(12, 0.000592952436859325)	(13, 0.000592952436859325)	(14, 0.000592952436859325)	(15, 0.0006199048203529307)	(16, 0.0006199048203529307)	(17, 0.0006468572038465364)	(18, 0.0007277143543273534)	(19, 0.0008355238883017761)	(20, 0.0009702858057698046)	(21, 0.0012667620241994671)	(22, 0.001698000160097158)	(23, 0.002910857417309414)	(24, 0.0053904766987211365)	(25, 0.00991847712564689)	(26, 0.018570192227094315)	(27, 0.07207067346190159)	(28, 0.17327687348039092)	(29, 0.29097793219696694)	(30, 0.42536251629608485)	(31, 0.7188200677744635)	(32, 1.1333477259061189)
AZ_B5 - polya	(1, 0.030806574333191294)	(2, 0.03412171750290479)	(3, 0.03813762264345204)	(4, 0.042962099288807454)	(5, 0.05368914791926252)	(6, 0.06010381519074067)	(7, 0.06519781567103214)	(8, 0.07029181615132361)	(9, 0.07565534046655115)	(10, 0.09371343740726695)	(11, 0.11603001093997246)	(12, 0.14818420444784403)	(13, 0.18033839795571563)	(14, 0.2205244017446817)	(15, 0.26054869123268615)	(16, 0.29919840916251667)	(17, 0.3315412693548435)	(18, 0.3698406062992572)	(19, 0.40239908555953285)	(20, 0.4379223270041051)	(21, 0.47641033063297406)	(22, 0.511475381558155)	(23, 0.5457049085950343)	(24, 0.5849475789617241)	(25, 0.6279366306340252)	(26, 0.6627321577242701)	(27, 0.6909782556255689)	(28, 0.7253694969634097)	(29, 0.7509742612823351)	(30, 0.7796515973195316)	(31, 0.8060918855267587)	(32, 0.8311306497923184)
AZ_B8 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 4.0019449452433886e-05)	(10, 4.0019449452433886e-05)	(11, 0.00020009724726216942)	(12, 0.0002401166967146033)	(13, 0.0002401166967146033)	(14, 0.0002401166967146033)	(15, 0.0002401166967146033)	(16, 0.0002801361461670372)	(17, 0.00040019449452433883)	(18, 0.00040019449452433883)	(19, 0.00040019449452433883)	(20, 0.0006403111912389422)	(21, 0.001040505685763281)	(22, 0.0016808168770022231)	(23, 0.003081497607837409)	(24, 0.006243034114579686)	(25, 0.010325017958727941)	(26, 0.018208849500857417)	(27, 0.07015409489011659)	(28, 0.17436474126425444)	(29, 0.2933025450368879)	(30, 0.4314897039961421)	(31, 0.709384760993843)	(32, 1.0853674885994593)
AZ_B8 - polya	(1, 0.031775442865232505)	(2, 0.0360175045071905)	(3, 0.04029958559860092)	(4, 0.04534203622960759)	(5, 0.05658750152574151)	(6, 0.06511164425910992)	(7, 0.07339567029576374)	(8, 0.08059917119720184)	(9, 0.08712234145794856)	(10, 0.10845270801609583)	(11, 0.1326244554853659)	(12, 0.17140330200477433)	(13, 0.21090249861432656)	(14, 0.2552440486076233)	(15, 0.3106709860992442)	(16, 0.357413703059687)	(17, 0.3977933275571928)	(18, 0.44473614176489773)	(19, 0.48787710827462144)	(20, 0.529977569098582)	(21, 0.5713176603829461)	(22, 0.6122975766222384)	(23, 0.6492355284668349)	(24, 0.6855331691201925)	(25, 0.7265931242583896)	(26, 0.7694539546219462)	(27, 0.8043509145444686)	(28, 0.838607563275752)	(29, 0.8689423059606969)	(30, 0.9007177488259294)	(31, 0.9317728416010181)	(32, 0.9639084595113225)
AZ_B9 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0001088911828631412)	(20, 0.000544455914315706)	(21, 0.0007622382800419884)	(22, 0.001524476560083977)	(23, 0.0027222795715785304)	(24, 0.004682320863115072)	(25, 0.0076223828004198845)	(26, 0.014264744955071499)	(27, 0.059890150574727664)	(28, 0.15418991493420794)	(29, 0.26014103586004433)	(30, 0.3730611924891218)	(31, 0.6413690670639017)	(32, 1.0114901976157187)
AZ_B9 - polya	(1, 0.024936080875659336)	(2, 0.027549469264374724)	(3, 0.030162857653090114)	(4, 0.03484517851620519)	(5, 0.044318711425298474)	(6, 0.05128774712853951)	(7, 0.055861176808791435)	(8, 0.060761280037632794)	(9, 0.06620583918078986)	(10, 0.08330175489030302)	(11, 0.10192214715990017)	(12, 0.1320850048129903)	(13, 0.160396712357407)	(14, 0.20090423238249552)	(15, 0.24119397004185777)	(16, 0.28083036060404115)	(17, 0.3139332801944361)	(18, 0.35280743247657753)	(19, 0.3826436165810782)	(20, 0.4145487331599786)	(21, 0.44721608801892093)	(22, 0.4748744484661588)	(23, 0.5106996476281322)	(24, 0.5734209689573015)	(25, 0.6158885302739266)	(26, 0.6671762774024662)	(27, 0.6975569174212826)	(28, 0.728808686903004)	(29, 0.7553781355216106)	(30, 0.784996537260385)	(31, 0.8106948564160863)	(32, 0.8416199523492184)
AZ_C1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 9.639582438994296e-05)	(11, 0.00012852776585325727)	(12, 0.00038558329755977185)	(13, 0.00038558329755977185)	(14, 0.00038558329755977185)	(15, 0.00038558329755977185)	(16, 0.00041771523902308614)	(17, 0.0005462430048763434)	(18, 0.0005462430048763434)	(19, 0.000706902712192915)	(20, 0.0009318263024361153)	(21, 0.0012531457170692586)	(22, 0.0019921803707254877)	(23, 0.003084666380478175)	(24, 0.0049804509268137195)	(25, 0.00899694360972801)	(26, 0.01690140120970333)	(27, 0.06240023032175641)	(28, 0.14816038208734233)	(29, 0.2479621922723966)	(30, 0.3583354111988813)	(31, 0.5778287033347814)	(32, 0.8983126874898785)
AZ_C1 - polya	(1, 0.03139290680965809)	(2, 0.034477573190136265)	(3, 0.03833340616573398)	(4, 0.04299253767791456)	(5, 0.05388526583397812)	(6, 0.060375918009567604)	(7, 0.0650671814632115)	(8, 0.07027255598026842)	(9, 0.07827340940463369)	(10, 0.09931983106310456)	(11, 0.12798152284838094)	(12, 0.1758902475701826)	(13, 0.21367741073104024)	(14, 0.2635783158235674)	(15, 0.3165638872965727)	(16, 0.37189509049639996)	(17, 0.4158515864182139)	(18, 0.46999390778389855)	(19, 0.5157497924276582)	(20, 0.5624053714323906)	(21, 0.607936332485907)	(22, 0.6496114605638256)	(23, 0.6998336850709859)	(24, 0.7515339788854586)	(25, 0.8129381190218523)	(26, 0.8663092737924174)	(27, 0.9031324787093756)	(28, 0.9480850648165523)	(29, 0.9767146246603654)	(30, 1.0133129059870805)	(31, 1.0455091113333213)	(32, 1.0789584623966315)
