Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
AZ_F2	AZ_F2.fastq	Conventional base calls	Illumina 1.5	900627.0	38.7 Mbp	0.0	43.0	47.0	68.0807058947763	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
AZ_F4	AZ_F4.fastq	Conventional base calls	Illumina 1.5	1894918.0	81.4 Mbp	0.0	43.0	46.0	62.46696930077815	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
AZ_F5	AZ_F5.fastq	Conventional base calls	Illumina 1.5	1413116.0	60.7 Mbp	0.0	43.0	44.0	68.19316840512798	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
AZ_F6	AZ_F6.fastq	Conventional base calls	Illumina 1.5	4753907.0	204.4 Mbp	0.0	43.0	48.0	42.48993052492899	43.0	43	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
AZ_F7	AZ_F7.fastq	Conventional base calls	Illumina 1.5	4022153.0	172.9 Mbp	0.0	43.0	48.0	49.37545359281524	43.0	43	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
AZ_F8	AZ_F8.fastq	Conventional base calls	Illumina 1.5	1532111.0	65.8 Mbp	0.0	43.0	46.0	63.4258652761996	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
AZ_G1	AZ_G1.fastq	Conventional base calls	Illumina 1.5	1679306.0	72.2 Mbp	0.0	43.0	46.0	58.04121882799627	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
AZ_G3	AZ_G3.fastq	Conventional base calls	Illumina 1.5	946274.0	40.6 Mbp	0.0	43.0	44.0	63.43624868597272	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
AZ_G5	AZ_G5.fastq	Conventional base calls	Illumina 1.5	1130914.0	48.6 Mbp	0.0	43.0	46.0	66.69774100412837	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
AZ_G6	AZ_G6.fastq	Conventional base calls	Illumina 1.5	2819032.0	121.2 Mbp	0.0	43.0	46.0	49.993737198770646	43.0	43	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
AZ_H10	AZ_H10.fastq	Conventional base calls	Illumina 1.5	2107850.0	90.6 Mbp	0.0	43.0	45.0	59.813459463200616	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
AZ_H11	AZ_H11.fastq	Conventional base calls	Illumina 1.5	1699531.0	73 Mbp	0.0	43.0	46.0	55.73133804101741	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
HP1502401_A10	HP1502401_A10.fastq	Conventional base calls	Illumina 1.5	2660076.0	114.3 Mbp	0.0	43.0	48.0	44.99246209598379	43.0	43	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
HP1502401_A14	HP1502401_A14.fastq	Conventional base calls	Illumina 1.5	1072802.0	46.1 Mbp	0.0	43.0	50.0	58.83567581985666	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
HP1502401_A17	HP1502401_A17.fastq	Conventional base calls	Illumina 1.5	1255075.0	53.9 Mbp	0.0	43.0	47.0	60.41374042714514	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
HP1502401_A18	HP1502401_A18.fastq	Conventional base calls	Illumina 1.5	2414674.0	103.8 Mbp	0.0	43.0	49.0	53.03300014761314	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
HP1502401_A2	HP1502401_A2.fastq	Conventional base calls	Illumina 1.5	3213679.0	138.1 Mbp	0.0	43.0	49.0	46.49503001998425	43.0	43	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
HP1502401_A22	HP1502401_A22.fastq	Conventional base calls	Illumina 1.5	2529777.0	108.7 Mbp	0.0	43.0	47.0	58.20960915349224	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
HP1502401_A24	HP1502401_A24.fastq	Conventional base calls	Illumina 1.5	2225212.0	95.6 Mbp	0.0	43.0	51.0	47.015504486518026	43.0	43	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
HP1502401_A4	HP1502401_A4.fastq	Conventional base calls	Illumina 1.5	2507373.0	107.8 Mbp	0.0	43.0	47.0	54.23594012145939	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
HP1502401_A5	HP1502401_A5.fastq	Conventional base calls	Illumina 1.5	1085596.0	46.6 Mbp	0.0	43.0	39.0	18.980439993657818	43.0	43	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
HP1502401_A6	HP1502401_A6.fastq	Conventional base calls	Illumina 1.5	2020764.0	86.8 Mbp	0.0	43.0	49.0	48.43073232902299	43.0	43	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
HP1502401_A7	HP1502401_A7.fastq	Conventional base calls	Illumina 1.5	2506928.0	107.7 Mbp	0.0	43.0	49.0	49.049126307417254	43.0	43	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
HP1502401_B1	HP1502401_B1.fastq	Conventional base calls	Illumina 1.5	1983811.0	85.3 Mbp	0.0	43.0	49.0	45.91563357414641	43.0	43	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
HP1502401_B10	HP1502401_B10.fastq	Conventional base calls	Illumina 1.5	1590086.0	68.3 Mbp	0.0	43.0	44.0	46.83556189886865	43.0	43	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
HP1502401_B16	HP1502401_B16.fastq	Conventional base calls	Illumina 1.5	1161311.0	49.9 Mbp	0.0	43.0	47.0	46.21582292561361	43.0	43	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
HP1502401_B17	HP1502401_B17.fastq	Conventional base calls	Illumina 1.5	1528646.0	65.7 Mbp	0.0	43.0	50.0	52.71287553072162	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
HP1502401_B18	HP1502401_B18.fastq	Conventional base calls	Illumina 1.5	1736263.0	74.6 Mbp	0.0	43.0	48.0	50.46599565997412	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
HP1502401_B20	HP1502401_B20.fastq	Conventional base calls	Illumina 1.5	1049911.0	45.1 Mbp	0.0	43.0	47.0	57.53767654413831	43.0	43	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
HP1502401_B21	HP1502401_B21.fastq	Conventional base calls	Illumina 1.5	1967025.0	84.5 Mbp	0.0	43.0	50.0	53.26839598871997	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
HP1502401_B23	HP1502401_B23.fastq	Conventional base calls	Illumina 1.5	1612810.0	69.3 Mbp	0.0	43.0	49.0	55.45865770032206	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
HP1502401_B24	HP1502401_B24.fastq	Conventional base calls	Illumina 1.5	1313897.0	56.4 Mbp	0.0	43.0	52.0	54.403424279468226	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
HP1502401_B5	HP1502401_B5.fastq	Conventional base calls	Illumina 1.5	1432660.0	61.6 Mbp	0.0	43.0	50.0	58.40958740076727	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
HP1502401_B7	HP1502401_B7.fastq	Conventional base calls	Illumina 1.5	1127436.0	48.4 Mbp	0.0	43.0	53.0	43.68667393052107	43.0	43	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
HP1502401_B8	HP1502401_B8.fastq	Conventional base calls	Illumina 1.5	2526405.0	108.6 Mbp	0.0	43.0	50.0	48.95004929432499	43.0	43	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
HP1502401_C1	HP1502401_C1.fastq	Conventional base calls	Illumina 1.5	833657.0	35.8 Mbp	0.0	43.0	51.0	59.19530996958534	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
HP1502401_C10	HP1502401_C10.fastq	Conventional base calls	Illumina 1.5	2238910.0	96.2 Mbp	0.0	43.0	53.0	47.98009516395087	43.0	43	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
HP1502401_C14	HP1502401_C14.fastq	Conventional base calls	Illumina 1.5	1527458.0	65.6 Mbp	0.0	43.0	48.0	50.31086579643467	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
HP1502401_C16	HP1502401_C16.fastq	Conventional base calls	Illumina 1.5	1373341.0	59 Mbp	0.0	43.0	48.0	52.521370649848805	43.0	43	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
HP1502401_C18	HP1502401_C18.fastq	Conventional base calls	Illumina 1.5	1651639.0	71 Mbp	0.0	43.0	52.0	44.51971298592423	43.0	43	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
HP1502401_C20	HP1502401_C20.fastq	Conventional base calls	Illumina 1.5	1798859.0	77.3 Mbp	0.0	43.0	50.0	46.33583864420336	43.0	43	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
HP1502401_C21	HP1502401_C21.fastq	Conventional base calls	Illumina 1.5	2207873.0	94.9 Mbp	0.0	43.0	48.0	49.62678811308436	43.0	43	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
HP1502401_C4	HP1502401_C4.fastq	Conventional base calls	Illumina 1.5	1553833.0	66.8 Mbp	0.0	43.0	47.0	55.93131114028722	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
HP1502401_C5	HP1502401_C5.fastq	Conventional base calls	Illumina 1.5	2456945.0	105.6 Mbp	0.0	43.0	48.0	48.70727275407093	43.0	43	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
HP1502401_C6	HP1502401_C6.fastq	Conventional base calls	Illumina 1.5	1167819.0	50.2 Mbp	0.0	43.0	53.0	48.613919044910915	43.0	43	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
HP1502401_C7	HP1502401_C7.fastq	Conventional base calls	Illumina 1.5	1745473.0	75 Mbp	0.0	43.0	53.0	42.06546621825031	43.0	43	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
HP1502401_C8	HP1502401_C8.fastq	Conventional base calls	Illumina 1.5	1264629.0	54.3 Mbp	0.0	43.0	53.0	56.55648703645861	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
HP1502401_D1	HP1502401_D1.fastq	Conventional base calls	Illumina 1.5	1562871.0	67.2 Mbp	0.0	43.0	41.0	44.25995116507533	43.0	43	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
HP1502401_D10	HP1502401_D10.fastq	Conventional base calls	Illumina 1.5	3071741.0	132 Mbp	0.0	43.0	49.0	49.30331710922263	43.0	43	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
HP1502401_D12	HP1502401_D12.fastq	Conventional base calls	Illumina 1.5	2292384.0	98.5 Mbp	0.0	43.0	48.0	54.98739902569291	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
HP1502401_D16	HP1502401_D16.fastq	Conventional base calls	Illumina 1.5	1546291.0	66.4 Mbp	0.0	43.0	46.0	55.937282511167076	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
HP1502401_D17	HP1502401_D17.fastq	Conventional base calls	Illumina 1.5	1323564.0	56.9 Mbp	0.0	43.0	49.0	50.41583166016892	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
HP1502401_D18	HP1502401_D18.fastq	Conventional base calls	Illumina 1.5	2414810.0	103.8 Mbp	0.0	43.0	48.0	57.89708375636232	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
HP1502401_D2	HP1502401_D2.fastq	Conventional base calls	Illumina 1.5	3330107.0	143.1 Mbp	0.0	43.0	50.0	42.83573139109819	43.0	43	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
HP1502401_D20	HP1502401_D20.fastq	Conventional base calls	Illumina 1.5	2159694.0	92.8 Mbp	0.0	43.0	45.0	52.26292921459906	43.0	43	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
HP1502401_D22	HP1502401_D22.fastq	Conventional base calls	Illumina 1.5	1924892.0	82.7 Mbp	0.0	43.0	50.0	50.15972563549985	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
HP1502401_D24	HP1502401_D24.fastq	Conventional base calls	Illumina 1.5	1959299.0	84.2 Mbp	0.0	43.0	47.0	54.87734804702972	43.0	43	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
HP1502401_D3	HP1502401_D3.fastq	Conventional base calls	Illumina 1.5	1685103.0	72.4 Mbp	0.0	43.0	49.0	57.86791107456526	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
HP1502401_D4	HP1502401_D4.fastq	Conventional base calls	Illumina 1.5	2629200.0	113 Mbp	0.0	43.0	49.0	53.33106557637689	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
HP1502401_D5	HP1502401_D5.fastq	Conventional base calls	Illumina 1.5	3604612.0	154.9 Mbp	0.0	43.0	47.0	41.462229983431435	43.0	43	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
HP1502401_D6	HP1502401_D6.fastq	Conventional base calls	Illumina 1.5	2338377.0	100.5 Mbp	0.0	43.0	50.0	51.16800714695549	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
HP1502401_D8	HP1502401_D8.fastq	Conventional base calls	Illumina 1.5	1901903.0	81.7 Mbp	0.0	43.0	50.0	58.37241094125406	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
HP1502401_E10	HP1502401_E10.fastq	Conventional base calls	Illumina 1.5	2566980.0	110.3 Mbp	0.0	43.0	50.0	47.206217047998045	43.0	43	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
HP1502401_E11	HP1502401_E11.fastq	Conventional base calls	Illumina 1.5	2338566.0	100.5 Mbp	0.0	43.0	48.0	51.72932652692728	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
HP1502401_E14	HP1502401_E14.fastq	Conventional base calls	Illumina 1.5	1095283.0	47 Mbp	0.0	43.0	49.0	66.28127541111392	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
HP1502401_E16	HP1502401_E16.fastq	Conventional base calls	Illumina 1.5	983034.0	42.2 Mbp	0.0	43.0	49.0	58.53640765755739	43.0	43	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
HP1502401_E17	HP1502401_E17.fastq	Conventional base calls	Illumina 1.5	1738792.0	74.7 Mbp	0.0	43.0	49.0	55.71841705282904	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
HP1502401_E19	HP1502401_E19.fastq	Conventional base calls	Illumina 1.5	2118471.0	91 Mbp	0.0	43.0	50.0	50.0298319155531	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
HP1502401_E2	HP1502401_E2.fastq	Conventional base calls	Illumina 1.5	2466951.0	106 Mbp	0.0	43.0	51.0	44.840118740894894	43.0	43	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
HP1502401_E20	HP1502401_E20.fastq	Conventional base calls	Illumina 1.5	2529460.0	108.7 Mbp	0.0	43.0	49.0	52.87481985259569	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
HP1502401_E21	HP1502401_E21.fastq	Conventional base calls	Illumina 1.5	2742833.0	117.9 Mbp	0.0	43.0	47.0	54.02316316708018	43.0	43	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
HP1502401_E22	HP1502401_E22.fastq	Conventional base calls	Illumina 1.5	1005344.0	43.2 Mbp	0.0	43.0	53.0	51.15305483105968	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
HP1502401_E23	HP1502401_E23.fastq	Conventional base calls	Illumina 1.5	2455509.0	105.5 Mbp	0.0	43.0	50.0	42.5377360856868	43.0	43	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
HP1502401_E24	HP1502401_E24.fastq	Conventional base calls	Illumina 1.5	1104591.0	47.4 Mbp	0.0	43.0	51.0	55.839775837925544	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
HP1502401_E3	HP1502401_E3.fastq	Conventional base calls	Illumina 1.5	1503524.0	64.6 Mbp	0.0	43.0	52.0	38.955649064384765	43.0	43	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
HP1502401_E5	HP1502401_E5.fastq	Conventional base calls	Illumina 1.5	2473384.0	106.3 Mbp	0.0	43.0	47.0	54.391135877709175	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
HP1502401_E6	HP1502401_E6.fastq	Conventional base calls	Illumina 1.5	768683.0	33 Mbp	0.0	43.0	50.0	66.054685065903	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
HP1502401_E7	HP1502401_E7.fastq	Conventional base calls	Illumina 1.5	2051099.0	88.1 Mbp	0.0	43.0	49.0	55.068806635025055	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
HP1502401_E9	HP1502401_E9.fastq	Conventional base calls	Illumina 1.5	1312110.0	56.4 Mbp	0.0	43.0	51.0	58.02421570317996	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
HP1502401_F10	HP1502401_F10.fastq	Conventional base calls	Illumina 1.5	2491312.0	107.1 Mbp	0.0	43.0	47.0	47.19808170075413	43.0	43	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
HP1502401_F12	HP1502401_F12.fastq	Conventional base calls	Illumina 1.5	2966134.0	127.5 Mbp	0.0	43.0	47.0	50.98754856485199	43.0	43	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
HP1502401_F15	HP1502401_F15.fastq	Conventional base calls	Illumina 1.5	1194326.0	51.3 Mbp	0.0	43.0	48.0	61.791080154808874	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
HP1502401_F16	HP1502401_F16.fastq	Conventional base calls	Illumina 1.5	1090391.0	46.8 Mbp	0.0	43.0	45.0	63.18451466826107	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	fail	pass
HP1502401_F17	HP1502401_F17.fastq	Conventional base calls	Illumina 1.5	1164693.0	50 Mbp	0.0	43.0	45.0	64.72098016712042	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
HP1502401_F18	HP1502401_F18.fastq	Conventional base calls	Illumina 1.5	1752080.0	75.3 Mbp	0.0	43.0	48.0	53.46519613776544	43.0	43	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
HP1502401_F19	HP1502401_F19.fastq	Conventional base calls	Illumina 1.5	2227235.0	95.7 Mbp	0.0	43.0	48.0	55.74769521184264	43.0	43	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
HP1502401_F20	HP1502401_F20.fastq	Conventional base calls	Illumina 1.5	2348006.0	100.9 Mbp	0.0	43.0	48.0	57.15463081341737	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
HP1502401_F21	HP1502401_F21.fastq	Conventional base calls	Illumina 1.5	2726627.0	117.2 Mbp	0.0	43.0	49.0	48.74878666953947	43.0	43	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
HP1502401_F22	HP1502401_F22.fastq	Conventional base calls	Illumina 1.5	2367773.0	101.8 Mbp	0.0	43.0	49.0	46.33119650938413	43.0	43	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
HP1502401_F23	HP1502401_F23.fastq	Conventional base calls	Illumina 1.5	2316105.0	99.5 Mbp	0.0	43.0	48.0	57.84278565078904	43.0	43	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
