Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
HP1502401_F21	51.25121333046053	49.0	43.0	43	20.0	2.7266269999999997
HP1502401_F22	53.66880349061587	49.0	43.0	43	20.0	2.3677729999999997
HP1502401_F23	42.15721434921096	48.0	43.0	43	0.0	2.316105
HP1502401_F24	44.66436310921459	53.0	43.0	43	10.0	1.010939
HP1502401_G10	53.949021850303524	49.0	43.0	43	20.0	1.5061369999999998
HP1502401_G11	47.10288502536626	48.0	43.0	43	10.0	2.700647
HP1502401_G12	49.396565009031015	53.0	43.0	43	20.0	0.7586879999999999
HP1502401_G18	51.109982777153576	50.0	43.0	43	20.0	2.592901
HP1502401_G2	79.39456978005845	35.0	43.0	43	50.0	0.901882
HP1502401_G20	42.912567338919786	50.0	43.0	43	10.0	2.160015
HP1502401_G21	77.53577185434033	37.0	43.0	43	50.0	0.787949
HP1502401_G22	35.9920248122468	48.0	43.0	43	10.0	1.033144
HP1502401_G23	43.35780823444211	47.0	43.0	43	0.0	2.5597589999999997
HP1502401_G24	54.65309194374483	50.0	43.0	43	20.0	2.802565
HP1502401_G4	57.02803343936921	53.0	43.0	43	20.0	2.418543
HP1502401_G5	57.22464896889431	52.0	43.0	43	20.0	2.790857
HP1502401_G6	59.223669478591496	53.0	43.0	43	20.0	1.195741
HP1502401_G7	54.694850453538294	48.0	43.0	43	20.0	2.523612
HP1502401_G8	50.08210650726041	50.0	43.0	43	20.0	2.144815
HP1502401_H1	53.627003307460164	46.0	43.0	43	30.0	1.513375
HP1502401_H10	38.82328303174485	43.0	43.0	43	20.0	1.169807
HP1502401_H11	54.230261006851144	54.0	43.0	43	20.0	1.9510949999999998
HP1502401_H12	44.68078210376877	51.0	43.0	43	10.0	2.137491
HP1502401_H15	40.19172353373802	48.0	43.0	43	10.0	1.549011
HP1502401_H16	48.38185895344228	46.0	43.0	43	10.0	1.780826
HP1502401_H18	42.824758221869644	51.0	43.0	43	10.0	1.8033599999999999
HP1502401_H19	49.19149662582429	51.0	43.0	43	10.0	1.678092
HP1502401_H2	40.347299745621015	50.0	43.0	43	10.0	1.462133
HP1502401_H20	49.327693986691365	48.0	43.0	43	10.0	1.90723
HP1502401_H21	47.85055048720521	48.0	43.0	43	10.0	2.342307
HP1502401_H22	50.94230924939242	51.0	43.0	43	20.0	1.8448449999999998
HP1502401_H23	41.98772374437097	48.0	43.0	43	10.0	2.0915559999999997
HP1502401_H24	48.068989097299344	47.0	43.0	43	0.0	2.157491
HP1502401_H3	45.722667094570824	48.0	43.0	43	10.0	1.7961669999999998
HP1502401_H4	59.00691595864618	48.0	43.0	43	30.0	1.9330209999999999
HP1502401_H5	55.14096404720459	46.0	43.0	43	20.0	2.373931
HP1502401_H6	43.3001056354653	49.0	43.0	43	10.0	1.1114
HP1502401_H8	45.846958994182316	49.0	43.0	43	10.0	2.127793
HP1502401_I1	54.868824474129866	47.0	43.0	43	30.0	2.707728
HP1502401_I10	55.17505463053184	49.0	43.0	43	20.0	1.0129599999999999
HP1502401_I11	80.00181081180077	51.0	43.0	43	20.0	1.162888
HP1502401_I12	42.315997940852746	52.0	43.0	43	10.0	1.126444
HP1502401_I14	40.37553346825698	50.0	43.0	43	10.0	2.031274
HP1502401_I15	40.66122987428624	48.0	43.0	43	10.0	1.651362
HP1502401_I16	42.32946204264999	45.0	43.0	43	10.0	1.2144
HP1502401_I17	80.69549425864771	44.0	43.0	43	30.0	1.05758
HP1502401_I18	57.68454924088339	49.0	43.0	43	20.0	1.247593
HP1502401_I2	49.961466383164556	48.0	43.0	43	10.0	2.589102
HP1502401_I21	47.86533688265393	46.0	43.0	43	0.0	2.9227499999999997
HP1502401_I22	56.30158202237907	46.0	43.0	43	20.0	1.771301
HP1502401_I23	49.231003072800775	46.0	43.0	43	10.0	2.327091
HP1502401_I24	52.200078257615154	53.0	43.0	43	20.0	2.1454709999999997
HP1502401_I4	43.56859524049046	48.0	43.0	43	10.0	2.278177
HP1502401_I6	46.3347760039054	50.0	43.0	43	10.0	1.8096999999999999
HP1502401_I8	38.918535981130645	52.0	43.0	43	10.0	1.049537
HP1502401_I9	43.31219211166618	51.0	43.0	43	10.0	1.4088809999999998
HP1502401_J1	47.00554688573904	47.0	43.0	43	0.0	2.7177919999999998
HP1502401_J10	55.615358742121416	50.0	43.0	43	20.0	3.424816
HP1502401_J11	54.19715639264793	49.0	43.0	43	20.0	1.1204589999999999
HP1502401_J12	49.00070215382394	47.0	43.0	43	10.0	2.7091979999999998
HP1502401_J15	44.266351139101666	49.0	43.0	43	10.0	1.432474
HP1502401_J16	48.99724548909864	46.0	43.0	43	20.0	1.087588
HP1502401_J17	42.03017073618809	49.0	43.0	43	10.0	2.289619
HP1502401_J18	47.09200948363544	48.0	43.0	43	10.0	2.39254
HP1502401_J19	37.0773495683977	47.0	43.0	43	10.0	2.227235
HP1502401_J2	57.24189451811172	50.0	43.0	43	20.0	3.220878
HP1502401_J20	51.91269917454902	46.0	43.0	43	20.0	2.645377
HP1502401_J21	52.715335009652875	47.0	43.0	43	10.0	2.786095
HP1502401_J22	52.69586807699416	48.0	43.0	43	30.0	2.100037
HP1502401_J23	54.358188284643774	47.0	43.0	43	20.0	2.7723009999999997
HP1502401_J24	38.9570494212657	49.0	43.0	43	10.0	2.1222149999999997
HP1502401_J4	42.14206937732866	51.0	43.0	43	10.0	1.5330199999999998
HP1502401_J6	46.84945138298799	47.0	43.0	43	0.0	3.0624689999999997
HP1502401_J8	54.7262790097096	47.0	43.0	43	20.0	2.6829739999999997
HP1502401_K10	46.386166872987914	49.0	43.0	43	10.0	2.490487
HP1502401_K14	45.14520428925031	49.0	43.0	43	10.0	2.029213
HP1502401_K16	38.498273806318494	47.0	43.0	43	0.0	1.589011
HP1502401_K17	45.060695406691586	48.0	43.0	43	10.0	1.19977
HP1502401_K19	59.682564324932216	50.0	43.0	43	20.0	1.099936
HP1502401_K2	44.181503932313014	49.0	43.0	43	10.0	1.9740559999999998
HP1502401_K20	45.57697060448208	45.0	43.0	43	10.0	2.27238
HP1502401_K21	44.494956272851205	46.0	43.0	43	10.0	2.768378
HP1502401_K22	50.995577655110665	48.0	43.0	43	20.0	1.897165
HP1502401_K23	55.623672361836526	50.0	43.0	43	30.0	1.558316
HP1502401_K24	43.37045417487175	47.0	43.0	43	0.0	2.552097
HP1502401_K3	43.497924994750505	48.0	43.0	43	10.0	1.3336709999999998
HP1502401_K5	43.83145977098222	49.0	43.0	43	10.0	2.2838469999999997
HP1502401_K6	49.286452428936755	47.0	43.0	43	10.0	1.909308
HP1502401_K9	46.40474101168224	50.0	43.0	43	10.0	1.9647549999999998
HP1502401_L1	51.215787238921045	47.0	43.0	43	20.0	2.840872
HP1502401_L10	43.36718304121694	48.0	43.0	43	20.0	2.559545
HP1502401_L11	46.010945103192235	50.0	43.0	43	10.0	0.991884
HP1502401_L12	53.52876596029374	46.0	43.0	43	30.0	2.077141
HP1502401_L13	37.65240196132296	51.0	43.0	43	10.0	0.7541859999999999
HP1502401_L14	45.442692625184876	50.0	43.0	43	10.0	1.899378
HP1502401_L15	44.762408448161395	48.0	43.0	43	10.0	1.712789
HP1502401_L16	49.3243406418564	46.0	43.0	43	10.0	1.55318
HP1502401_L17	46.756455839604605	47.0	43.0	43	0.0	1.2693219999999998
HP1502401_L18	43.755613065546406	51.0	43.0	43	10.0	0.828762
HP1502401_L2	55.14706812030495	49.0	43.0	43	20.0	1.741671
HP1502401_L20	42.50494778746252	48.0	43.0	43	10.0	1.748986
HP1502401_L21	48.47282401734751	47.0	43.0	43	10.0	2.4044719999999997
HP1502401_L22	49.070764193349206	46.0	43.0	43	10.0	2.195052
HP1502401_L23	43.89269824280299	45.0	43.0	43	10.0	2.268214
HP1502401_L3	38.12860428591802	47.0	43.0	43	10.0	1.49491
HP1502401_L4	38.21560751069306	49.0	43.0	43	10.0	0.9858779999999999
HP1502401_L5	45.056994659399386	47.0	43.0	43	10.0	1.7203199999999998
HP1502401_L7	56.43397270231845	49.0	43.0	43	20.0	2.074468
HP1502401_M1	52.319879194426846	48.0	43.0	43	20.0	1.402787
HP1502401_M11	41.249350380895464	50.0	43.0	43	10.0	1.553346
HP1502401_M12	38.78186933384043	48.0	43.0	43	0.0	1.529498
HP1502401_M14	40.71296286273084	47.0	43.0	43	10.0	2.251527
HP1502401_M15	51.48780580901059	50.0	43.0	43	20.0	1.143116
HP1502401_M16	36.50493506785124	49.0	43.0	43	10.0	1.088341
HP1502401_M17	46.043842180502956	49.0	43.0	43	10.0	0.978383
HP1502401_M18	40.582265168456125	46.0	43.0	43	10.0	1.523429
HP1502401_M19	51.287840999005	48.0	43.0	43	10.0	2.487615
HP1502401_M2	54.98179213198527	50.0	43.0	43	20.0	2.472019
HP1502401_M20	51.90543433289845	51.0	43.0	43	20.0	2.756131
HP1502401_M21	53.19663353539198	47.0	43.0	43	10.0	2.448172
HP1502401_M22	42.1376840445713	48.0	43.0	43	10.0	2.6517079999999997
HP1502401_M23	48.84291225844143	46.0	43.0	43	0.0	2.4080019999999998
HP1502401_M24	53.19192770813377	47.0	43.0	43	10.0	2.8116179999999997
HP1502401_M3	41.512483117385315	50.0	43.0	43	10.0	0.9366
HP1502401_M4	47.92284367171932	46.0	43.0	43	20.0	1.4784009999999999
HP1502401_M5	42.84458132350084	50.0	43.0	43	10.0	1.8135059999999998
HP1502401_M7	51.75859563181406	49.0	43.0	43	20.0	2.6505769999999997
HP1502401_M8	50.19445916685838	53.0	43.0	43	20.0	1.1679009999999999
HP1502401_N1	46.14628977040829	51.0	43.0	43	10.0	2.3428359999999997
HP1502401_N10	46.41845995792605	50.0	43.0	43	10.0	2.878341
HP1502401_N12	56.13249192684789	49.0	43.0	43	20.0	1.552986
HP1502401_N15	50.712637823217726	48.0	43.0	43	10.0	2.015943
HP1502401_N16	41.20766875918376	50.0	43.0	43	10.0	1.92027
HP1502401_N17	53.245572984057375	48.0	43.0	43	10.0	1.757507
HP1502401_N18	54.68896859021719	50.0	43.0	43	20.0	2.075555
HP1502401_N19	51.439472688802205	48.0	43.0	43	10.0	2.347846
HP1502401_N2	43.87590349611399	51.0	43.0	43	10.0	1.624115
HP1502401_N20	47.98123428303826	50.0	43.0	43	10.0	1.521556
HP1502401_N21	44.68831501715502	48.0	43.0	43	10.0	1.165594
HP1502401_N23	47.386294867356185	49.0	43.0	43	10.0	1.9056499999999998
HP1502401_N3	44.81448746330816	46.0	43.0	43	20.0	1.7634459999999998
HP1502401_N7	35.97622153640715	51.0	43.0	43	10.0	0.8081069999999999
HP1502401_N8	54.728124426820465	49.0	43.0	43	20.0	2.831015
HP1502401_O1	42.558126517119874	48.0	43.0	43	10.0	0.759606
HP1502401_O10	30.8490131428553	52.0	43.0	43	10.0	0.8395199999999999
HP1502401_O14	38.761704037285696	51.0	43.0	43	10.0	0.9394889999999999
HP1502401_O16	49.464612762378145	52.0	43.0	43	10.0	1.296883
HP1502401_O18	42.68695198874381	48.0	43.0	43	10.0	2.171124
HP1502401_O2	54.56288672347747	47.0	43.0	43	30.0	2.962742
HP1502401_O20	45.613888856939255	48.0	43.0	43	0.0	1.9622149999999998
HP1502401_O21	47.28487138214245	47.0	43.0	43	0.0	2.034382
HP1502401_O22	46.31019582667852	47.0	43.0	43	10.0	2.0549649999999997
HP1502401_O23	39.51660553344426	48.0	43.0	43	0.0	2.120736
HP1502401_O7	55.14766051567165	49.0	43.0	43	20.0	2.1723909999999997
HP1504101T2D_A10	43.352531321070344	48.0	43.0	43	10.0	2.457235
HP1504101T2D_A12	46.21569212796426	46.0	43.0	43	10.0	2.052013
HP1504101T2D_A13	45.16617804245219	52.0	43.0	43	20.0	1.4892649999999998
HP1504101T2D_A14	70.56177213874155	42.0	43.0	43	50.0	0.7645139999999999
HP1504101T2D_A15	36.79119270411482	49.0	43.0	43	10.0	1.014275
HP1504101T2D_A17	32.99387179862802	50.0	43.0	43	10.0	0.862529
HP1504101T2D_A18	42.56813300299559	47.0	43.0	43	10.0	1.7984559999999998
HP1504101T2D_A19	45.16466564290087	50.0	43.0	43	10.0	1.820217
HP1504101T2D_A20	42.53499492162517	46.0	43.0	43	10.0	1.748483
HP1504101T2D_A22	74.82547488936538	45.0	43.0	43	30.0	1.317696
HP1504101T2D_A23	39.98896429237191	52.0	43.0	43	10.0	1.126615
HP1504101T2D_A24	53.57859170995161	52.0	43.0	43	20.0	2.366969
HP1504101T2D_A4	43.55520395451558	48.0	43.0	43	10.0	1.577763
HP1504101T2D_A5	45.97864434117174	50.0	43.0	43	10.0	1.669879
HP1504101T2D_A6	53.006604793577885	47.0	43.0	43	20.0	2.227761
HP1504101T2D_A8	43.629994435922846	47.0	43.0	43	10.0	1.965403
HP1504101T2D_B10	40.842249687691655	51.0	43.0	43	10.0	0.810643
HP1504101T2D_B11	38.26793987843167	47.0	43.0	43	10.0	1.399464
HP1504101T2D_B12	37.98394290160526	49.0	43.0	43	10.0	1.5444339999999999
HP1504101T2D_B13	40.18145826425188	47.0	43.0	43	10.0	1.440065
HP1504101T2D_B14	71.31573464925059	45.0	43.0	43	40.0	0.7851159999999999
HP1504101T2D_B16	34.712531710328975	49.0	43.0	43	10.0	1.281625
HP1504101T2D_B17	37.908225509644424	46.0	43.0	43	10.0	1.6625109999999999
HP1504101T2D_B18	43.88371817330463	48.0	43.0	43	10.0	1.817504
HP1504101T2D_B20	78.3421125847955	43.0	43.0	43	40.0	1.0127359999999999
HP1504101T2D_B21	41.5251801368695	46.0	43.0	43	10.0	1.79666
HP1504101T2D_B22	39.6612137459047	53.0	43.0	43	10.0	0.982719
HP1504101T2D_B4	42.81754928720384	48.0	43.0	43	10.0	1.075682
HP1504101T2D_B5	35.34194694998763	48.0	43.0	43	10.0	1.269808
HP1504101T2D_B6	52.63203156095916	51.0	43.0	43	20.0	1.510397
HP1504101T2D_B7	32.87183579931022	49.0	43.0	43	10.0	0.877474
HP1504101T2D_B8	34.94784344475053	49.0	43.0	43	10.0	1.487196
HP1504101T2D_C1	31.40853796603143	53.0	43.0	43	10.0	0.972648
HP1504101T2D_C10	55.15314565553412	50.0	43.0	43	20.0	0.869931
HP1504101T2D_C11	48.36617739841167	52.0	43.0	43	10.0	1.592868
HP1504101T2D_C12	33.19183817119705	47.0	43.0	43	0.0	0.921906
HP1504101T2D_C14	38.204985833581276	46.0	43.0	43	10.0	1.5164689999999998
HP1504101T2D_C15	40.02362425917163	49.0	43.0	43	10.0	1.1736739999999999
HP1504101T2D_C16	41.712690440592695	49.0	43.0	43	10.0	1.4813729999999998
HP1504101T2D_C17	43.64784300755146	51.0	43.0	43	10.0	1.5205849999999999
HP1504101T2D_C18	48.62783115268701	50.0	43.0	43	10.0	2.0368429999999997
HP1504101T2D_C20	41.49147527583429	48.0	43.0	43	10.0	2.21616
HP1504101T2D_C21	38.284184811633736	50.0	43.0	43	10.0	1.7371649999999998
HP1504101T2D_C22	39.7024121925142	46.0	43.0	43	10.0	2.1395839999999997
HP1504101T2D_C24	59.507997960807025	43.0	43.0	43	30.0	1.744576
HP1504101T2D_C4	40.56139688234458	47.0	43.0	43	10.0	1.118607
HP1504101T2D_C9	51.41216963577948	54.0	43.0	43	20.0	0.9480599999999999
HP1504101T2D_D12	40.22251189369146	49.0	43.0	43	10.0	1.424769
HP1504101T2D_D13	44.788348092884775	48.0	43.0	43	10.0	2.0473559999999997
HP1504101T2D_D15	34.391559800187935	47.0	43.0	43	10.0	0.980389
HP1504101T2D_D16	71.58146694028774	45.0	43.0	43	40.0	0.964023
HP1504101T2D_D17	39.364655305148155	47.0	43.0	43	10.0	1.764889
HP1504101T2D_D18	48.70548256929332	48.0	43.0	43	10.0	2.007085
HP1504101T2D_D19	39.19043311915971	48.0	43.0	43	10.0	2.137397
HP1504101T2D_D2	44.20408039667457	47.0	43.0	43	10.0	1.910421
HP1504101T2D_D21	38.53859728548321	47.0	43.0	43	10.0	2.211959
HP1504101T2D_D23	39.11202913207972	47.0	43.0	43	10.0	2.114887
HP1504101T2D_D24	52.7837109233693	53.0	43.0	43	30.0	2.2192819999999998
HP1504101T2D_D5	46.72399661639856	46.0	43.0	43	10.0	1.9076179999999998
HP1504101T2D_D6	40.30644183374815	47.0	43.0	43	10.0	1.358538
HP1504101T2D_D7	37.77000411941571	48.0	43.0	43	10.0	1.742383
HP1504101T2D_D8	48.042806904646085	49.0	43.0	43	10.0	1.788374
HP1504101T2D_D9	40.61017151061017	49.0	43.0	43	10.0	1.8059509999999999
HP1504101T2D_E11	42.92700274347161	52.0	43.0	43	10.0	1.077866
HP1504101T2D_E14	40.70698514501544	48.0	43.0	43	10.0	1.611845
HP1504101T2D_E15	51.51261862842564	53.0	43.0	43	20.0	1.7737779999999999
HP1504101T2D_E16	39.01791127918985	49.0	43.0	43	10.0	1.4574129999999998
HP1504101T2D_E18	43.42406451261033	48.0	43.0	43	10.0	1.653311
HP1504101T2D_E19	35.58353849015464	50.0	43.0	43	10.0	1.9826979999999998
HP1504101T2D_E20	42.56769157387832	48.0	43.0	43	10.0	1.9021409999999999
HP1504101T2D_E21	49.6164226894855	51.0	43.0	43	10.0	2.1423579999999998
HP1504101T2D_E22	43.95830814688077	47.0	43.0	43	10.0	2.289205
HP1504101T2D_E23	43.98693972862575	51.0	43.0	43	10.0	1.649765
HP1504101T2D_E24	51.62694645241185	50.0	43.0	43	20.0	2.6931
HP1504101T2D_E4	37.06164366237934	48.0	43.0	43	10.0	1.428278
HP1504101T2D_E6	50.52168285708391	48.0	43.0	43	20.0	1.336624
HP1504101T2D_E7	38.88146455929452	49.0	43.0	43	10.0	1.088897
HP1504101T2D_E8	33.90996917600867	44.0	43.0	43	10.0	0.8008419999999999
HP1504101T2D_E9	43.78955751058972	51.0	43.0	43	10.0	1.4007129999999999
HP1504101T2D_F1	37.98916274071017	53.0	43.0	43	10.0	0.9749709999999999
HP1504101T2D_F10	52.877924479360864	47.0	43.0	43	30.0	2.071325
HP1504101T2D_F11	32.710527961324104	47.0	43.0	43	0.0	0.8759739999999999
HP1504101T2D_F12	42.218871375749124	46.0	43.0	43	0.0	1.9226379999999998
HP1504101T2D_F13	40.07987699322918	48.0	43.0	43	10.0	1.873665
HP1504101T2D_F14	37.10219256352419	49.0	43.0	43	10.0	1.5285009999999999
HP1504101T2D_F15	34.4066823754648	47.0	43.0	43	0.0	1.3839949999999999
HP1504101T2D_F16	39.01959824899877	51.0	43.0	43	10.0	1.507893
HP1504101T2D_F17	45.15763645845517	48.0	43.0	43	20.0	2.039563
HP1504101T2D_F18	39.02713492499454	53.0	43.0	43	10.0	1.1937039999999999
