Sample	Unique Reads	Duplicate Reads
HP1502401_G6	487580.0	708161.0
HP1502401_G7	1143327.0	1380285.0
HP1502401_G8	1070647.0	1074168.0
HP1502401_H1	701798.0	811577.0
HP1502401_H10	715650.0	454157.0
HP1502401_H11	893012.0	1058083.0
HP1502401_H12	1182444.0	955047.0
HP1502401_H15	926437.0	622574.0
HP1502401_H16	919230.0	861596.0
HP1502401_H18	1031076.0	772284.0
HP1502401_H19	852614.0	825478.0
HP1502401_H2	872202.0	589931.0
HP1502401_H20	966438.0	940792.0
HP1502401_H21	1221501.0	1120806.0
HP1502401_H22	905039.0	939806.0
HP1502401_H23	1213360.0	878196.0
HP1502401_H24	1120407.0	1037084.0
HP1502401_H3	974912.0	821255.0
HP1502401_H4	792405.0	1140616.0
HP1502401_H5	1064923.0	1309008.0
HP1502401_H6	630163.0	481237.0
HP1502401_H8	1152265.0	975528.0
HP1502401_I1	1222030.0	1485698.0
HP1502401_I10	454059.0	558901.0
HP1502401_I11	232557.0	930331.0
HP1502401_I12	649778.0	476666.0
HP1502401_I14	1211137.0	820137.0
HP1502401_I15	979898.0	671464.0
HP1502401_I16	700352.0	514048.0
HP1502401_I17	204161.0	853419.0
HP1502401_I18	527925.0	719668.0
HP1502401_I2	1295549.0	1293553.0
HP1502401_I21	1523766.0	1398984.0
HP1502401_I22	774031.0	997270.0
HP1502401_I23	1181441.0	1145650.0
HP1502401_I24	1025534.0	1119937.0
HP1502401_I4	1285608.0	992569.0
HP1502401_I6	971180.0	838520.0
HP1502401_I8	641073.0	408464.0
HP1502401_I9	798664.0	610217.0
HP1502401_J1	1440280.0	1277512.0
HP1502401_J10	1520093.0	1904723.0
HP1502401_J11	513203.0	607256.0
HP1502401_J12	1381672.0	1327526.0
HP1502401_J15	798371.0	634103.0
HP1502401_J16	554700.0	532888.0
HP1502401_J17	1327289.0	962330.0
HP1502401_J18	1265845.0	1126695.0
HP1502401_J19	1401436.0	825799.0
HP1502401_J2	1377187.0	1843691.0
HP1502401_J20	1272091.0	1373286.0
HP1502401_J21	1317396.0	1468699.0
HP1502401_J22	993405.0	1106632.0
HP1502401_J23	1265329.0	1506972.0
HP1502401_J24	1295463.0	826752.0
HP1502401_J4	886974.0	646046.0
HP1502401_J6	1627720.0	1434749.0
HP1502401_J8	1214683.0	1468291.0
HP1502401_K10	1335246.0	1155241.0
HP1502401_K14	1113121.0	916092.0
HP1502401_K16	977270.0	611741.0
HP1502401_K17	659146.0	540624.0
HP1502401_K19	443466.0	656470.0
HP1502401_K2	1101889.0	872167.0
HP1502401_K20	1236699.0	1035681.0
HP1502401_K21	1536590.0	1231788.0
HP1502401_K22	929695.0	967470.0
HP1502401_K23	691524.0	866792.0
HP1502401_K24	1445241.0	1106856.0
HP1502401_K3	753552.0	580119.0
HP1502401_K5	1282804.0	1001043.0
HP1502401_K6	968278.0	941030.0
HP1502401_K9	1053016.0	911739.0
HP1502401_L1	1385898.0	1454974.0
HP1502401_L10	1449543.0	1110002.0
HP1502401_L11	535509.0	456375.0
HP1502401_L12	965274.0	1111867.0
HP1502401_L13	470217.0	283969.0
HP1502401_L14	1036250.0	863128.0
HP1502401_L15	946104.0	766685.0
HP1502401_L16	787085.0	766095.0
HP1502401_L17	675833.0	593489.0
HP1502401_L18	466133.0	362629.0
HP1502401_L2	781191.0	960480.0
HP1502401_L20	1005581.0	743405.0
HP1502401_L21	1238957.0	1165515.0
HP1502401_L22	1117924.0	1077128.0
HP1502401_L23	1272634.0	995580.0
HP1502401_L3	924922.0	569988.0
HP1502401_L4	609119.0	376759.0
HP1502401_L5	945196.0	775124.0
HP1502401_L7	903764.0	1170704.0
HP1502401_M1	668851.0	733936.0
HP1502401_M11	912601.0	640745.0
HP1502401_M12	936331.0	593167.0
HP1502401_M14	1334864.0	916663.0
HP1502401_M15	554551.0	588565.0
HP1502401_M16	691043.0	397298.0
HP1502401_M17	527898.0	450485.0
HP1502401_M18	905188.0	618241.0
HP1502401_M19	1211771.0	1275844.0
HP1502401_M2	1112859.0	1359160.0
HP1502401_M20	1325550.0	1430581.0
HP1502401_M21	1145827.0	1302345.0
HP1502401_M22	1534340.0	1117368.0
HP1502401_M23	1231864.0	1176138.0
HP1502401_M24	1316065.0	1495553.0
HP1502401_M3	547795.0	388805.0
HP1502401_M4	769910.0	708491.0
HP1502401_M5	1036517.0	776989.0
HP1502401_M7	1278676.0	1371901.0
HP1502401_M8	581680.0	586221.0
HP1502401_N1	1261705.0	1081131.0
HP1502401_N10	1542260.0	1336081.0
HP1502401_N12	681257.0	871729.0
HP1502401_N15	993606.0	1022337.0
HP1502401_N16	1128972.0	791298.0
HP1502401_N17	821713.0	935794.0
HP1502401_N18	940456.0	1135099.0
HP1502401_N19	1140127.0	1207719.0
HP1502401_N2	911520.0	712595.0
HP1502401_N20	791495.0	730061.0
HP1502401_N21	644710.0	520884.0
HP1502401_N23	1002634.0	903016.0
HP1502401_N3	973167.0	790279.0
HP1502401_N7	517381.0	290726.0
HP1502401_N8	1281654.0	1549361.0
HP1502401_O1	436332.0	323274.0
HP1502401_O10	580537.0	258983.0
HP1502401_O14	575328.0	364161.0
HP1502401_O16	655385.0	641498.0
HP1502401_O18	1244338.0	926786.0
HP1502401_O2	1346185.0	1616557.0
HP1502401_O20	1067173.0	895042.0
HP1502401_O21	1072428.0	961954.0
HP1502401_O22	1103307.0	951658.0
HP1502401_O23	1282694.0	838042.0
HP1502401_O7	974369.0	1198022.0
HP1504101T2D_A10	1391962.0	1065273.0
HP1504101T2D_A12	1103661.0	948352.0
HP1504101T2D_A13	816621.0	672644.0
HP1504101T2D_A14	225060.0	539454.0
HP1504101T2D_A15	641112.0	373163.0
HP1504101T2D_A17	577948.0	284581.0
HP1504101T2D_A18	1032887.0	765569.0
HP1504101T2D_A19	998123.0	822094.0
HP1504101T2D_A20	1004766.0	743717.0
HP1504101T2D_A22	331724.0	985972.0
HP1504101T2D_A23	676094.0	450521.0
HP1504101T2D_A24	1098781.0	1268188.0
HP1504101T2D_A4	890566.0	687197.0
HP1504101T2D_A5	902092.0	767787.0
HP1504101T2D_A6	1046901.0	1180860.0
HP1504101T2D_A8	1107898.0	857505.0
HP1504101T2D_B10	479559.0	331084.0
HP1504101T2D_B11	863918.0	535546.0
HP1504101T2D_B12	957798.0	586636.0
HP1504101T2D_B13	861426.0	578639.0
HP1504101T2D_B14	225205.0	559911.0
HP1504101T2D_B16	836741.0	444884.0
HP1504101T2D_B17	1032283.0	630228.0
HP1504101T2D_B18	1019916.0	797588.0
HP1504101T2D_B20	219338.0	793398.0
HP1504101T2D_B21	1050594.0	746066.0
HP1504101T2D_B22	592961.0	389758.0
HP1504101T2D_B4	615102.0	460580.0
HP1504101T2D_B5	821034.0	448774.0
HP1504101T2D_B6	715445.0	794952.0
HP1504101T2D_B7	589033.0	288441.0
HP1504101T2D_B8	967454.0	519742.0
HP1504101T2D_C1	667154.0	305494.0
HP1504101T2D_C10	390137.0	479794.0
HP1504101T2D_C11	822459.0	770409.0
HP1504101T2D_C12	615909.0	305997.0
HP1504101T2D_C14	937103.0	579366.0
HP1504101T2D_C15	703928.0	469746.0
HP1504101T2D_C16	863453.0	617920.0
HP1504101T2D_C17	856883.0	663702.0
HP1504101T2D_C18	1046371.0	990472.0
HP1504101T2D_C20	1296643.0	919517.0
HP1504101T2D_C21	1072106.0	665059.0
HP1504101T2D_C22	1290118.0	849466.0
HP1504101T2D_C24	706414.0	1038162.0
HP1504101T2D_C4	664885.0	453722.0
HP1504101T2D_C9	460642.0	487418.0
HP1504101T2D_D12	851692.0	573077.0
HP1504101T2D_D13	1130380.0	916976.0
HP1504101T2D_D15	643218.0	337171.0
HP1504101T2D_D16	273962.0	690061.0
HP1504101T2D_D17	1070147.0	694742.0
HP1504101T2D_D18	1029525.0	977560.0
HP1504101T2D_D19	1299742.0	837655.0
HP1504101T2D_D2	1065937.0	844484.0
HP1504101T2D_D21	1359502.0	852457.0
HP1504101T2D_D23	1287712.0	827175.0
HP1504101T2D_D24	1047863.0	1171419.0
HP1504101T2D_D5	1016303.0	891315.0
HP1504101T2D_D6	810960.0	547578.0
HP1504101T2D_D7	1084285.0	658098.0
HP1504101T2D_D8	929189.0	859185.0
HP1504101T2D_D9	1072552.0	733399.0
HP1504101T2D_E11	615171.0	462695.0
HP1504101T2D_E14	955712.0	656133.0
HP1504101T2D_E15	860059.0	913719.0
HP1504101T2D_E16	888761.0	568652.0
HP1504101T2D_E18	935377.0	717934.0
HP1504101T2D_E19	1277184.0	705514.0
HP1504101T2D_E20	1092444.0	809697.0
HP1504101T2D_E21	1079397.0	1062961.0
HP1504101T2D_E22	1282910.0	1006295.0
HP1504101T2D_E23	924084.0	725681.0
HP1504101T2D_E24	1302735.0	1390365.0
HP1504101T2D_E4	898935.0	529343.0
HP1504101T2D_E6	661340.0	675284.0
HP1504101T2D_E7	665518.0	423379.0
HP1504101T2D_E8	529277.0	271565.0
HP1504101T2D_E9	787347.0	613366.0
HP1504101T2D_F1	604588.0	370383.0
HP1504101T2D_F10	976052.0	1095273.0
HP1504101T2D_F11	589439.0	286535.0
HP1504101T2D_F12	1110922.0	811716.0
HP1504101T2D_F13	1122703.0	750962.0
HP1504101T2D_F14	961394.0	567107.0
HP1504101T2D_F15	907809.0	476186.0
HP1504101T2D_F16	919520.0	588373.0
HP1504101T2D_F17	1118545.0	921018.0
HP1504101T2D_F18	727836.0	465868.0
HP1504101T2D_F19	1129318.0	1194559.0
HP1504101T2D_F2	1251210.0	648057.0
HP1504101T2D_F20	1423214.0	1216517.0
HP1504101T2D_F21	418884.0	782423.0
HP1504101T2D_F22	1288512.0	1152354.0
HP1504101T2D_F24	676561.0	681275.0
HP1504101T2D_F3	616217.0	462868.0
HP1504101T2D_F5	894316.0	736105.0
HP1504101T2D_F7	802962.0	467902.0
HP1504101T2D_F8	220298.0	650614.0
HP1504101T2D_F9	558984.0	328145.0
HP1504101T2D_G1	1227984.0	809623.0
HP1504101T2D_G10	807815.0	611148.0
HP1504101T2D_G12	596705.0	453945.0
HP1504101T2D_G14	970488.0	609866.0
HP1504101T2D_G16	750890.0	418043.0
HP1504101T2D_G17	1144642.0	823659.0
HP1504101T2D_G19	1237504.0	737476.0
HP1504101T2D_G2	1176365.0	698372.0
HP1504101T2D_G21	1361675.0	1108360.0
HP1504101T2D_G22	768150.0	474094.0
HP1504101T2D_G23	1260907.0	874066.0
HP1504101T2D_G24	1370730.0	894717.0
HP1504101T2D_G3	716268.0	523741.0
HP1504101T2D_G4	852112.0	575392.0
HP1504101T2D_G5	251310.0	1191378.0
HP1504101T2D_G8	824147.0	623625.0
HP1504101T2D_G9	645554.0	358265.0
HP1504101T2D_H1	785385.0	512374.0
HP1504101T2D_H13	319451.0	527790.0
HP1504101T2D_H14	885558.0	662161.0
HP1504101T2D_H15	784562.0	400918.0
HP1504101T2D_H17	1181414.0	483381.0
HP1504101T2D_H18	1369723.0	801893.0
HP1504101T2D_H2	722913.0	645913.0
HP1504101T2D_H20	1293804.0	972930.0
HP1504101T2D_H21	1100387.0	599394.0
HP1504101T2D_H22	1406772.0	794951.0
HP1504101T2D_H23	1092653.0	1123574.0
HP1504101T2D_H24	1431078.0	984184.0
HP1504101T2D_H4	581766.0	390648.0
HP1504101T2D_H5	906026.0	905519.0
HP1504101T2D_H6	522837.0	308697.0
HP1504101T2D_H7	960389.0	555913.0
HP1504101T2D_H9	1140951.0	691376.0
HP1504101T2D_I1	764367.0	414102.0
HP1504101T2D_I10	698834.0	439972.0
HP1504101T2D_I11	458557.0	509207.0
HP1504101T2D_I13	217726.0	752588.0
HP1504101T2D_I14	1207011.0	803894.0
HP1504101T2D_I15	842669.0	583791.0
HP1504101T2D_I16	851500.0	592047.0
HP1504101T2D_I17	754175.0	492618.0
HP1504101T2D_I18	860944.0	847886.0
HP1504101T2D_I19	562268.0	866435.0
HP1504101T2D_I2	587272.0	478540.0
HP1504101T2D_I20	1507908.0	1040478.0
HP1504101T2D_I21	949580.0	413154.0
HP1504101T2D_I22	1181760.0	1144261.0
HP1504101T2D_I23	1071504.0	805382.0
HP1504101T2D_I24	1577882.0	1390200.0
HP1504101T2D_I4	207337.0	631070.0
HP1504101T2D_I5	1169542.0	850866.0
HP1504101T2D_I6	1165338.0	797583.0
HP1504101T2D_I8	914736.0	678971.0
HP1504101T2D_J1	844489.0	493395.0
HP1504101T2D_J11	836948.0	884213.0
HP1504101T2D_J12	229807.0	893498.0
HP1504101T2D_J13	1020406.0	813030.0
HP1504101T2D_J15	839021.0	422836.0
HP1504101T2D_J16	743327.0	757602.0
HP1504101T2D_J2	1176164.0	839040.0
HP1504101T2D_J20	1131404.0	1009184.0
HP1504101T2D_J22	1501208.0	1129524.0
HP1504101T2D_J24	1480917.0	1239531.0
HP1504101T2D_J3	457782.0	271386.0
HP1504101T2D_J4	290437.0	520503.0
HP1504101T2D_J5	1147481.0	809815.0
HP1504101T2D_J6	982112.0	611685.0
HP1504101T2D_J7	881876.0	514183.0
HP1504101T2D_J8	346965.0	283764.0
HP1504101T2D_J9	856170.0	619364.0
HP1504101T2D_K1	1115.0	40.0
HP1504101T2D_K10	585469.0	548520.0
HP1504101T2D_K11	1042.0	86.0
HP1504101T2D_K12	621622.0	364422.0
HP1504101T2D_K13	1675.0	77.0
HP1504101T2D_K14	617291.0	771491.0
HP1504101T2D_K15	1797.0	86.0
HP1504101T2D_K16	136575.0	161001.0
HP1504101T2D_K17	1008345.0	1017943.0
HP1504101T2D_K18	1115106.0	815000.0
HP1504101T2D_K19	836469.0	732049.0
HP1504101T2D_K2	924634.0	509920.0
HP1504101T2D_K20	1228843.0	1104537.0
HP1504101T2D_K21	372328.0	941399.0
HP1504101T2D_K22	1150723.0	862076.0
HP1504101T2D_K23	1136134.0	827486.0
HP1504101T2D_K24	1320157.0	1230422.0
HP1504101T2D_K3	1241.0	44.0
HP1504101T2D_K4	942348.0	855616.0
HP1504101T2D_K5	1669.0	117.0
HP1504101T2D_K6	201017.0	445767.0
HP1504101T2D_K7	1612.0	104.0
HP1504101T2D_K8	930902.0	636968.0
HP1504101T2D_K9	1891.0	109.0
HP1504101T2D_L1	1005899.0	550141.0
HP1504101T2D_L10	1046409.0	1008323.0
HP1504101T2D_L11	859438.0	941146.0
HP1504101T2D_L12	134269.0	223877.0
HP1504101T2D_L13	639776.0	388723.0
HP1504101T2D_L14	855068.0	874059.0
HP1504101T2D_L15	586669.0	351895.0
HP1504101T2D_L16	3129.0	579.0
HP1504101T2D_L17	644643.0	437145.0
HP1504101T2D_L18	867241.0	899450.0
HP1504101T2D_L19	673911.0	364534.0
HP1504101T2D_L2	935979.0	822025.0
HP1504101T2D_L20	149711.0	303066.0
HP1504101T2D_L21	1001334.0	837914.0
HP1504101T2D_L22	459465.0	610756.0
HP1504101T2D_L23	1060632.0	726604.0
HP1504101T2D_L24	1321679.0	909275.0
HP1504101T2D_L3	689945.0	510387.0
HP1504101T2D_L4	842045.0	536384.0
HP1504101T2D_L5	355187.0	266813.0
HP1504101T2D_L6	11774.0	4453.0
HP1504101T2D_L7	795289.0	498878.0
HP1504101T2D_L8	1070068.0	1017695.0
HP1504101T2D_L9	205157.0	715008.0
HP1504101T2D_M1	968873.0	707926.0
HP1504101T2D_M10	1115531.0	786739.0
HP1504101T2D_M11	64379.0	49547.0
HP1504101T2D_M12	269187.0	248326.0
HP1504101T2D_M13	103562.0	168775.0
HP1504101T2D_M14	75468.0	51676.0
HP1504101T2D_M15	725462.0	495981.0
HP1504101T2D_M16	166039.0	337766.0
HP1504101T2D_M17	372226.0	907360.0
HP1504101T2D_M18	1142546.0	1130782.0
HP1504101T2D_M19	1128508.0	1249035.0
HP1504101T2D_M2	1010070.0	953933.0
HP1504101T2D_M20	283157.0	844199.0
HP1504101T2D_M21	1204609.0	1258118.0
HP1504101T2D_M22	210017.0	391261.0
HP1504101T2D_M23	1445654.0	1146590.0
HP1504101T2D_M24	1745027.0	1441367.0
HP1504101T2D_M3	489037.0	257875.0
HP1504101T2D_M4	596408.0	268643.0
HP1504101T2D_M5	854627.0	842931.0
HP1504101T2D_M6	687856.0	536240.0
HP1504101T2D_M7	936411.0	553879.0
HP1504101T2D_M8	821886.0	597542.0
HP1504101T2D_M9	547931.0	395702.0
HP1504101T2D_N1	685977.0	487908.0
HP1504101T2D_N10	983638.0	940673.0
HP1504101T2D_N11	134615.0	284920.0
HP1504101T2D_N12	1095877.0	972856.0
HP1504101T2D_N13	745014.0	353023.0
HP1504101T2D_N14	25138.0	13663.0
HP1504101T2D_N15	439575.0	198875.0
HP1504101T2D_N16	819257.0	683349.0
HP1504101T2D_N17	1142128.0	868582.0
HP1504101T2D_N18	207093.0	387960.0
HP1504101T2D_N19	1132656.0	702638.0
HP1504101T2D_N2	667837.0	351788.0
HP1504101T2D_N20	1294582.0	1093525.0
HP1504101T2D_N21	548054.0	403070.0
HP1504101T2D_N22	1203601.0	944674.0
HP1504101T2D_N23	313548.0	401536.0
HP1504101T2D_N24	1438991.0	1040633.0
HP1504101T2D_N3	98098.0	122305.0
HP1504101T2D_N4	218793.0	441583.0
HP1504101T2D_N5	898617.0	564204.0
HP1504101T2D_N6	907721.0	819163.0
HP1504101T2D_N7	688713.0	316870.0
HP1504101T2D_N8	1279322.0	1060176.0
HP1504101T2D_N9	782168.0	748029.0
HP1504101T2D_O1	455049.0	383029.0
HP1504101T2D_O10	988973.0	719136.0
HP1504101T2D_O11	1053507.0	762147.0
HP1504101T2D_O12	1165884.0	1023662.0
HP1504101T2D_O13	1096990.0	611072.0
HP1504101T2D_O14	1065309.0	907264.0
HP1504101T2D_O15	60090.0	47312.0
HP1504101T2D_O16	1101870.0	701341.0
HP1504101T2D_O17	275965.0	1289768.0
HP1504101T2D_O18	260724.0	390490.0
HP1504101T2D_O19	634593.0	326194.0
HP1504101T2D_O2	196624.0	570528.0
HP1504101T2D_O20	1216670.0	857860.0
HP1504101T2D_O21	460013.0	553565.0
HP1504101T2D_O22	1440887.0	1274842.0
HP1504101T2D_O23	1098091.0	912929.0
HP1504101T2D_O24	1727008.0	1697438.0
HP1504101T2D_O3	782466.0	643083.0
HP1504101T2D_O4	668064.0	395737.0
HP1504101T2D_O5	468895.0	567049.0
HP1504101T2D_O6	1005516.0	672290.0
HP1504101T2D_O7	174833.0	384851.0
HP1504101T2D_O8	193481.0	511415.0
HP1504101T2D_O9	626656.0	370659.0
HP1504101T2D_P1	104006.0	173339.0
HP1504101T2D_P10	233583.0	262290.0
HP1504101T2D_P11	837061.0	624703.0
HP1504101T2D_P12	684603.0	374415.0
HP1504101T2D_P14	969774.0	690285.0
HP1504101T2D_P15	85218.0	100340.0
HP1504101T2D_P16	100242.0	170826.0
HP1504101T2D_P17	816074.0	664271.0
HP1504101T2D_P18	1314419.0	1029288.0
HP1504101T2D_P19	620897.0	413087.0
HP1504101T2D_P2	657369.0	350921.0
HP1504101T2D_P20	430871.0	703885.0
HP1504101T2D_P21	1139857.0	809285.0
HP1504101T2D_P22	997072.0	645029.0
HP1504101T2D_P23	257510.0	494155.0
HP1504101T2D_P24	1575554.0	1384451.0
HP1504101T2D_P3	1091733.0	565272.0
HP1504101T2D_P4	595423.0	535347.0
HP1504101T2D_P5	1060999.0	984768.0
HP1504101T2D_P6	1428.0	66.0
HP1504101T2D_P7	943284.0	608621.0
HP1504101T2D_P8	273131.0	428678.0
HP1504101T2D_P9	746031.0	527617.0
HP1504901_A1	41512.0	115049.0
HP1504901_A10	249070.0	194914.0
HP1504901_A11	78055.0	335201.0
HP1504901_A12	36689.0	116720.0
HP1504901_A13	26083.0	110318.0
HP1504901_A14	269321.0	323273.0
HP1504901_A15	46786.0	118999.0
HP1504901_A16	241207.0	164799.0
HP1504901_A17	38491.0	134780.0
HP1504901_A18	42953.0	179815.0
HP1504901_A19	303292.0	358265.0
HP1504901_A2	309635.0	324613.0
HP1504901_A20	49176.0	186862.0
HP1504901_A21	421600.0	433407.0
HP1504901_A22	382697.0	260391.0
HP1504901_A23	406116.0	307866.0
HP1504901_A24	32574.0	121483.0
HP1504901_A3	154358.0	115315.0
HP1504901_A4	69752.0	223013.0
HP1504901_A5	265593.0	170488.0
HP1504901_A6	60568.0	239783.0
HP1504901_A7	47234.0	158477.0
HP1504901_A8	49892.0	227226.0
HP1504901_A9	246168.0	210383.0
HP1504901_B1	229065.0	167144.0
HP1504901_B10	366553.0	424676.0
HP1504901_B11	354791.0	398372.0
HP1504901_B12	22771.0	87065.0
HP1504901_B13	462901.0	480499.0
HP1504901_B14	602542.0	453311.0
HP1504901_B15	276334.0	250078.0
HP1504901_B16	375722.0	463900.0
HP1504901_B17	53333.0	241864.0
HP1504901_B18	584960.0	752976.0
HP1504901_B19	84831.0	272495.0
HP1504901_B2	388029.0	391619.0
HP1504901_B20	591494.0	645686.0
HP1504901_B21	461831.0	416755.0
HP1504901_B22	584073.0	595625.0
HP1504901_B23	439867.0	446364.0
HP1504901_B24	461910.0	241163.0
HP1504901_B3	361032.0	257195.0
HP1504901_B4	363916.0	430829.0
HP1504901_B5	74715.0	295139.0
HP1504901_B6	360987.0	381241.0
HP1504901_B7	288338.0	212173.0
HP1504901_B8	423143.0	436440.0
HP1504901_B9	346606.0	395417.0
HP1504901_C1	29393.0	85606.0
HP1504901_C10	299933.0	320372.0
HP1504901_C11	416190.0	309614.0
HP1504901_C12	35693.0	114255.0
HP1504901_C13	398320.0	330179.0
HP1504901_C14	377760.0	399936.0
HP1504901_C15	68016.0	266455.0
HP1504901_C16	416834.0	377525.0
HP1504901_C17	426039.0	405436.0
HP1504901_C18	48385.0	199861.0
HP1504901_C19	68504.0	215813.0
HP1504901_C2	426571.0	265624.0
HP1504901_C20	34898.0	135255.0
HP1504901_C21	31777.0	113000.0
HP1504901_C22	232174.0	499123.0
HP1504901_C23	431763.0	383031.0
HP1504901_C24	67790.0	242680.0
HP1504901_C3	46161.0	187925.0
HP1504901_C4	67831.0	245333.0
HP1504901_C5	139164.0	391718.0
HP1504901_C6	51258.0	148332.0
HP1504901_C7	39181.0	169359.0
HP1504901_C8	74978.0	325538.0
HP1504901_C9	101510.0	240942.0
HP1504901_D1	183280.0	125945.0
HP1504901_D10	84210.0	246641.0
HP1504901_D11	76826.0	141254.0
HP1504901_D12	398062.0	231523.0
HP1504901_D13	569804.0	484571.0
HP1504901_D14	403593.0	302535.0
HP1504901_D15	317137.0	331482.0
