directory,filename,read_count
./healthy,HP1506401_I11.fastq,1661808
./healthy,HP1506401_I12.fastq,1030231
./healthy,HP1506401_I23.fastq,851015
./healthy,HP1506401_J17.fastq,739484
./healthy,HP1506401_J19.fastq,89660
./healthy,HP1506401_K1.fastq,219536
./healthy,HP1506401_K21.fastq,1277368
./healthy,HP1506401_L5.fastq,114515
./healthy,HP1506401_N11.fastq,98726
./healthy,HP1506401_N20.fastq,2285800
./healthy,HP1506401_O10.fastq,2614756
./healthy,HP1506401_O11.fastq,1328916
./healthy,HP1506401_P12.fastq,530671
./healthy,HP1506401_P14.fastq,2219665
./healthy,HP1507101_A12.fastq,279965
./healthy,HP1507101_A6.fastq,158591
./healthy,HP1507101_B5.fastq,649983
./healthy,HP1507101_C12.fastq,420506
./healthy,HP1507101_C7.fastq,215329
./healthy,HP1507101_D22.fastq,486073
./healthy,HP1507101_D23.fastq,348051
./healthy,HP1507101_D3.fastq,1053428
./healthy,HP1507101_D6.fastq,988245
./healthy,HP1507101_E14.fastq,135578
./healthy,HP1507101_F11.fastq,229604
./healthy,HP1507101_F14.fastq,695083
./healthy,HP1507101_F23.fastq,174075
./healthy,HP1507101_F4.fastq,881998
./healthy,HP1507101_H17.fastq,1028027
./healthy,HP1507101_H4.fastq,738676
./healthy,HP1507101_I12.fastq,724536
./healthy,HP1507101_I18.fastq,887206
./healthy,HP1507101_J19.fastq,211513
./healthy,HP1507101_J20.fastq,658421
./healthy,HP1507101_K15.fastq,101846
./healthy,HP1507101_K23.fastq,300298
./healthy,HP1507101_L16.fastq,496374
./healthy,HP1507101_L22.fastq,155277
./healthy,HP1507101_L24.fastq,219831
./healthy,HP1507101_M8.fastq,318378
./healthy,HP1507101_N13.fastq,388438
./healthy,HP1507101_N5.fastq,308548
./healthy,HP1507101_N6.fastq,804676
./healthy,HP1507101_O14.fastq,78430
./healthy,HP1507101_O19.fastq,845399
./healthy,HP1507101_O3.fastq,489222
./healthy,HP1507101_O8.fastq,1116680
./healthy,HP1507101_P2.fastq,792852
./healthy,HP1509101_B13.fastq,99563
./healthy,HP1509101_C23.fastq,159926
./healthy,HP1509101_D18.fastq,2358437
./healthy,HP1509101_E22.fastq,791224
./healthy,HP1509101_G9.fastq,136706
./healthy,HP1509101_J19.fastq,543172
./healthy,HP1509101_K9.fastq,621597
./healthy,HP1509101_L14.fastq,79727
./healthy,HP1509101_N23.fastq,145555
./healthy,HP1509101_O18.fastq,86986
./t2d,HP1504101T2D_B6.fastq,1510397
./t2d,HP1504101T2D_C18.fastq,2036843
./t2d,HP1504101T2D_D9.fastq,1805951
./t2d,HP1504101T2D_E15.fastq,1773778
./t2d,HP1504101T2D_E16.fastq,1457413
./t2d,HP1504101T2D_E24.fastq,2693100
./t2d,HP1504101T2D_H23.fastq,2216227
./t2d,HP1504101T2D_H6.fastq,831534
./t2d,HP1504101T2D_N10.fastq,1924311
./t2d,HP1504101T2D_O12.fastq,2189546
./t2d,HP1508501T2D_A10.fastq,145850
./t2d,HP1508501T2D_B16.fastq,1059065
./t2d,HP1508501T2D_B20.fastq,117387
./t2d,HP1508501T2D_C14.fastq,258117
./t2d,HP1508501T2D_C17.fastq,144065
./t2d,HP1508501T2D_C4.fastq,314576
./t2d,HP1508501T2D_F1.fastq,307955
./t2d,HP1508501T2D_F3.fastq,533958
./t2d,HP1508501T2D_F7.fastq,700330
./t2d,HP1508501T2D_G5.fastq,69441
./t2d,HP1508501T2D_I8.fastq,837011
./t2d,HP1508501T2D_J6.fastq,1426967
./t2d,HP1508501T2D_M14.fastq,187482
./t2d,HP1508501T2D_O4.fastq,111700
./t2d,HP1525301T2D_D23.fastq,67085
./t2d,HP1525301T2D_F15.fastq,332314
./t2d,HP1525301T2D_F23.fastq,391504
./t2d,HP1525301T2D_G8.fastq,301421
./t2d,HP1525301T2D_H10.fastq,332341
./t2d,HP1525301T2D_I6.fastq,323738
./t2d,HP1525301T2D_L14.fastq,439314
./t2d,HP1525301T2D_L17.fastq,214009
./t2d,HP1525301T2D_M7.fastq,658119
./t2d,HP1525301T2D_N18.fastq,318895
./t2d,HP1525301T2D_N3.fastq,471338
./t2d,HP1526901T2D_A1.fastq,929978
./t2d,HP1526901T2D_A14.fastq,768110
./t2d,HP1526901T2D_A19.fastq,855374
./t2d,HP1526901T2D_A2.fastq,928551
./t2d,HP1526901T2D_A5.fastq,947590
./t2d,HP1526901T2D_B1.fastq,845231
./t2d,HP1526901T2D_B10.fastq,597645
./t2d,HP1526901T2D_B4.fastq,637259
./t2d,HP1526901T2D_B9.fastq,667973
./t2d,HP1526901T2D_C10.fastq,607504
./t2d,HP1526901T2D_C11.fastq,644996
./t2d,HP1526901T2D_C17.fastq,449754
./t2d,HP1526901T2D_C3.fastq,741415
./t2d,HP1526901T2D_D17.fastq,413230
./t2d,HP1526901T2D_D19.fastq,633797
./t2d,HP1526901T2D_E11.fastq,848361
./t2d,HP1526901T2D_E2.fastq,851864
./t2d,HP1526901T2D_F17.fastq,396079
./t2d,HP1526901T2D_F18.fastq,336722
./t2d,HP1526901T2D_F5.fastq,682737
./t2d,HP1526901T2D_G17.fastq,803763
./t2d,HP1526901T2D_G21.fastq,923886
./t2d,HP1526901T2D_G4.fastq,1018465
./t2d,HP1526901T2D_H10.fastq,848531
./t2d,HP1526901T2D_H20.fastq,862320
./t2d,HP1526901T2D_H22.fastq,1143421
./t2d,HP1526901T2D_H24.fastq,1134047
./t2d,HP1526901T2D_H4.fastq,843624
./t2d,HP1526901T2D_I13.fastq,819217
./t2d,HP1526901T2D_I20.fastq,518607
./t2d,HP1526901T2D_I22.fastq,620762
./t2d,HP1526901T2D_I3.fastq,860689
./t2d,HP1526901T2D_J21.fastq,998922
./t2d,HP1526901T2D_J5.fastq,706529
./t2d,HP1526901T2D_J6.fastq,274243
./t2d,HP1526901T2D_K20.fastq,871728
./t2d,HP1526901T2D_K23.fastq,1242813
./t2d,HP1526901T2D_K3.fastq,1105094
./t2d,HP1526901T2D_K7.fastq,1049030
./t2d,HP1526901T2D_L1.fastq,1076282
./t2d,HP1526901T2D_L4.fastq,537202
./t2d,HP1526901T2D_L5.fastq,780580
./t2d,HP1526901T2D_L6.fastq,580712
./t2d,HP1526901T2D_M15.fastq,1241496
./t2d,HP1526901T2D_M2.fastq,644323
./t2d,HP1526901T2D_N1.fastq,1218414
./t2d,HP1526901T2D_N12.fastq,978853
./t2d,HP1526901T2D_N13.fastq,820711
./t2d,HP1526901T2D_N23.fastq,1073293
./t2d,HP1526901T2D_N3.fastq,935836
./t2d,HP1526901T2D_O1.fastq,634464
./t2d,HP1526901T2D_O13.fastq,336570
./t2d,HP1526901T2D_O14.fastq,870444
./t2d,HP1526901T2D_O15.fastq,580899
./t2d,HP1526901T2D_O17.fastq,563428
./t2d,HP1526901T2D_O24.fastq,597949
./t2d,HP1526901T2D_O8.fastq,572347
./t2d,HP1526901T2D_P10.fastq,373463
./t2d,HP1526901T2D_P11.fastq,314278
./t2d,HP1526901T2D_P17.fastq,429046
./t2d,HP1526901T2D_P18.fastq,341742
./t2d,HP1526901T2D_P4.fastq,319418
./t2d,HP1526901T2D_P7.fastq,431561
./t2d,HP1526901T2D_P9.fastq,430028
