symbol,name,summary,GO_BP,GO_MF,GO_CC
GAPDHP35,glyceraldehyde 3 phosphate dehydrogenase pseudogene 35,,,,
EDN3,endothelin 3,"The protein encoded by this gene is a member of the endothelin family. Endothelins are endothelium-derived vasoactive peptides involved in a variety of biological functions. The active form of this protein is a 21 amino acid peptide processed from the precursor protein. The active peptide is a ligand for endothelin receptor type B (EDNRB). The interaction of this endothelin with EDNRB is essential for development of neural crest-derived cell lineages, such as melanocytes and enteric neurons. Mutations in this gene and EDNRB have been associated with Hirschsprung disease (HSCR) and Waardenburg syndrome (WS), which are congenital disorders involving neural crest-derived cells. Altered expression of this gene is implicated in tumorigenesis. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Oct 2014].",neural crest cell migration; positive regulation of leukocyte chemotaxis; regulation of systemic arterial blood pressure by endothelin; regulation of systemic arterial blood pressure by endothelin; intracellular calcium ion homeostasis; intracellular calcium ion homeostasis; signal transduction; cell surface receptor signaling pathway; cell-cell signaling; axon guidance; blood circulation; cell population proliferation; positive regulation of cell population proliferation; positive regulation of cell population proliferation; positive regulation of heart rate; regulation of gene expression; intracellular magnesium ion homeostasis; artery smooth muscle contraction; vein smooth muscle contraction; vein smooth muscle contraction; regulation of vasoconstriction; peptide hormone secretion; neuron differentiation; melanocyte differentiation; regulation of cell migration; neutrophil chemotaxis; neuron projection development; vasoconstriction; vasoconstriction; positive regulation of MAPK cascade; positive regulation of cell differentiation; positive regulation of mitotic nuclear division; positive regulation of smooth muscle contraction; positive regulation of hormone secretion; regulation of developmental pigmentation; axon extension; establishment of localization in cell; potassium ion transmembrane transport; blood vessel diameter maintenance; positive regulation of potassium ion transmembrane transport,signaling receptor binding; hormone activity; hormone activity; endothelin B receptor binding; endothelin B receptor binding,extracellular region; extracellular region; extracellular space; extracellular space
TTR,transthyretin,"This gene encodes one of the three prealbumins, which include alpha-1-antitrypsin, transthyretin and orosomucoid. The encoded protein, transthyretin, is a homo-tetrameric carrier protein, which transports thyroid hormones in the plasma and cerebrospinal fluid. It is also involved in the transport of retinol (vitamin A) in the plasma by associating with retinol-binding protein. The protein may also be involved in other intracellular processes including proteolysis, nerve regeneration, autophagy and glucose homeostasis. Mutations in this gene are associated with amyloid deposition, predominantly affecting peripheral nerves or the heart, while a small percentage of the gene mutations are non-amyloidogenic. The mutations are implicated in the etiology of several diseases, including amyloidotic polyneuropathy, euthyroid hyperthyroxinaemia, amyloidotic vitreous opacities, cardiomyopathy, oculoleptomeningeal amyloidosis, meningocerebrovascular amyloidosis and carpal tunnel syndrome. [provided by RefSeq, Aug 2017].","retinoid metabolic process; negative regulation of glomerular filtration; purine nucleobase metabolic process; phototransduction, visible light",hormone activity; protein binding; hormone binding; identical protein binding; protein-containing complex binding; molecular sequestering activity,extracellular region; extracellular region; extracellular region; extracellular region; extracellular space; extracellular space; extracellular space; cytoplasm; protein-containing complex; azurophil granule lumen; extracellular exosome
FXYD2,FXYD domain containing ion transport regulator 2,"This gene encodes a member of the FXYD family of transmembrane proteins. This particular protein encodes the sodium/potassium-transporting ATPase subunit gamma. Mutations in this gene have been associated with Renal Hypomagnesemia-2. Alternatively spliced transcript variants have been described. Read-through transcripts have been observed between this locus and the upstream FXYD domain-containing ion transport regulator 6 (FXYD6, GeneID 53826) locus.[provided by RefSeq, Feb 2011].",monoatomic ion transport; potassium ion transport; sodium ion transport; intracellular sodium ion homeostasis; negative regulation of cell population proliferation; establishment or maintenance of transmembrane electrochemical gradient; intracellular potassium ion homeostasis; sodium ion export across plasma membrane; sodium ion export across plasma membrane; regulation of monoatomic ion transport; transmembrane transport; cellular hyperosmotic salinity response; inorganic cation transmembrane transport; proton transmembrane transport; positive regulation of sodium ion export across plasma membrane; potassium ion import across plasma membrane; potassium ion import across plasma membrane,ATPase activator activity; protein binding; sodium channel regulator activity; sodium channel regulator activity; protein-macromolecule adaptor activity; ion channel regulator activity,plasma membrane; sodium:potassium-exchanging ATPase complex; sodium:potassium-exchanging ATPase complex; sodium:potassium-exchanging ATPase complex; sodium:potassium-exchanging ATPase complex; membrane; basolateral plasma membrane; extracellular exosome
RAB21,"RAB21, member RAS oncogene family","This gene belongs to the Rab family of monomeric GTPases, which are involved in the control of cellular membrane traffic. The encoded protein plays a role in the targeted trafficking of integrins via its association with integrin alpha tails. As a consequence, the encoded protein is involved in the regulation of cell adhesion and migration. Expression of this gene is associated with a poor prognosis for glioma patients. This gene is downregulated by the tumor suppressor miR-200b, and miRNA-200b is itself downregulated in glioma tissues. [provided by RefSeq, Nov 2015].",intracellular protein transport; anterograde axonal transport; anterograde axonal transport; anterograde axonal transport; protein transport; regulation of exocytosis; regulation of axon extension; Rab protein signal transduction; positive regulation of receptor-mediated endocytosis; positive regulation of dendrite morphogenesis; protein stabilization; positive regulation of early endosome to late endosome transport,nucleotide binding; GTPase activity; GTPase activity; GTPase activity; protein binding; GTP binding; GTP binding; GTP binding; GDP binding,Golgi membrane; endosome; endosome; early endosome; endoplasmic reticulum; endoplasmic reticulum membrane; Golgi apparatus; trans-Golgi network; cytosol; focal adhesion; cytoplasmic side of plasma membrane; endomembrane system; vesicle membrane; membrane; cytoplasmic vesicle membrane; cytoplasmic vesicle; early endosome membrane; early endosome membrane; cleavage furrow; Golgi cisterna membrane; cell projection; neuron projection; synapse; extracellular exosome; cytoplasmic side of early endosome membrane; axon cytoplasm
CCAR2,cell cycle and apoptosis regulator 2,"Enables RNA polymerase II complex binding activity and enzyme inhibitor activity. Involved in several processes, including regulation of cellular protein metabolic process; regulation of signal transduction; and regulation of transcription, DNA-templated. Located in several cellular components, including mitochondrial matrix; nucleoplasm; and spindle. Part of DBIRD complex. [provided by Alliance of Genome Resources, Apr 2022]",regulation of DNA-templated transcription; mRNA processing; apoptotic process; DNA damage response; RNA splicing; RNA splicing; response to UV; Wnt signaling pathway; negative regulation of cell growth; regulation of protein stability; negative regulation of proteasomal ubiquitin-dependent protein catabolic process; regulation of DNA-templated transcription elongation; regulation of circadian rhythm; regulation of circadian rhythm; positive regulation of apoptotic process; negative regulation of catalytic activity; mitochondrial fragmentation involved in apoptotic process; negative regulation of DNA-templated transcription; negative regulation of DNA-templated transcription; rhythmic process; positive regulation of canonical Wnt signaling pathway; regulation of protein deacetylation; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage; positive regulation of DNA damage checkpoint,adenyl-nucleotide exchange factor activity; RNA polymerase II complex binding; RNA binding; enzyme inhibitor activity; enzyme inhibitor activity; enzyme inhibitor activity; protein binding; enzyme binding; unfolded protein binding,chromatin; nucleus; nucleus; nucleoplasm; nucleoplasm; cytoplasm; cytoplasm; mitochondrial matrix; spindle; spindle; cytoskeleton; DBIRD complex
MAST1,microtubule associated serine/threonine kinase 1,"This gene is a member of the microtubule-associated serine/threonine kinase (MAST) family. The protein encoded by this gene has an N-terminal serine/threonine kinase domain followed by a postsynaptic density protein-95/discs large/zona occludens-1 (PDZ) domain. In mouse and rat, the orthologous protein associates with the cytoskeleton and can bind both beta-2-syntrophin and neuronal nitric oxide synthase (nNOS) through its PDZ domain. In mouse and rat, this protein also co-localizes with dystrophin- and utrophin-associated protein complexes (DAPC/UAPC) in the vascular endothelium of the central nervous system. [provided by RefSeq, May 2017].",protein phosphorylation; cytoskeleton organization; cytoskeleton organization; cytoskeleton organization; brain development; brain development; brain development; intracellular signal transduction; intracellular signal transduction,nucleotide binding; magnesium ion binding; magnesium ion binding; protein kinase activity; protein serine/threonine kinase activity; protein serine/threonine kinase activity; protein serine/threonine kinase activity; protein binding; ATP binding; ATP binding; microtubule binding; microtubule binding; kinase activity; transferase activity; metal ion binding; protein serine kinase activity,cytoplasm; cytoskeleton; plasma membrane; membrane; axon; dendrite; cell projection; neuron projection; neuron projection; neuronal cell body; neuronal cell body
EGFR,epidermal growth factor receptor,"The protein encoded by this gene is a transmembrane glycoprotein that is a member of the protein kinase superfamily. This protein is a receptor for members of the epidermal growth factor family. EGFR is a cell surface protein that binds to epidermal growth factor, thus inducing receptor dimerization and tyrosine autophosphorylation leading to cell proliferation. Mutations in this gene are associated with lung cancer. EGFR is a component of the cytokine storm which contributes to a severe form of Coronavirus Disease 2019 (COVID-19) resulting from infection with severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2). [provided by RefSeq, Jul 2020].",MAPK cascade; cell morphogenesis; ossification; embryonic placenta development; positive regulation of protein phosphorylation; hair follicle development; signal transduction; signal transduction; signal transduction; cell surface receptor signaling pathway; cell surface receptor protein tyrosine kinase signaling pathway; epidermal growth factor receptor signaling pathway; epidermal growth factor receptor signaling pathway; epidermal growth factor receptor signaling pathway; epidermal growth factor receptor signaling pathway; epidermal growth factor receptor signaling pathway; epidermal growth factor receptor signaling pathway; salivary gland morphogenesis; learning or memory; cell population proliferation; positive regulation of cell population proliferation; positive regulation of cell population proliferation; positive regulation of cell population proliferation; epidermis development; regulation of signal transduction; cerebral cortex cell migration; neuron differentiation; positive regulation of cell growth; positive regulation of cell migration; positive regulation of peptidyl-serine phosphorylation; ERBB signaling pathway; ERBB2-EGFR signaling pathway; ERBB2-EGFR signaling pathway; negative regulation of epidermal growth factor receptor signaling pathway; negative regulation of epidermal growth factor receptor signaling pathway; regulation of cell population proliferation; regulation of cell population proliferation; negative regulation of protein catabolic process; positive regulation of phosphorylation; negative regulation of apoptotic process; negative regulation of apoptotic process; positive regulation of MAPK cascade; positive regulation of MAPK cascade; phosphatidylinositol 3-kinase/protein kinase B signal transduction; positive regulation of DNA repair; positive regulation of DNA replication; positive regulation of transcription by RNA polymerase II; symbiont entry into host cell; positive regulation of fibroblast proliferation; digestive tract morphogenesis; epithelial cell proliferation; positive regulation of epithelial cell proliferation; positive regulation of epithelial cell proliferation; positive regulation of epithelial cell proliferation; regulation of peptidyl-tyrosine phosphorylation; protein insertion into membrane; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; morphogenesis of an epithelial fold; eyelid development in camera-type eye; response to UV-A; positive regulation of ERK1 and ERK2 cascade; positive regulation of ERK1 and ERK2 cascade; cellular response to amino acid stimulus; cellular response to growth factor stimulus; cellular response to epidermal growth factor stimulus; cellular response to estradiol stimulus; positive regulation of protein kinase C signaling; positive regulation of canonical Wnt signaling pathway; cell-cell adhesion; positive regulation of G1/S transition of mitotic cell cycle; positive regulation of miRNA transcription; positive regulation of protein localization to plasma membrane; negative regulation of cardiocyte differentiation,nucleotide binding; virus receptor activity; chromatin binding; double-stranded DNA binding; protein kinase activity; MAP kinase kinase kinase activity; protein tyrosine kinase activity; protein tyrosine kinase activity; protein tyrosine kinase activity; protein tyrosine kinase activity; transmembrane receptor protein tyrosine kinase activity; transmembrane receptor protein tyrosine kinase activity; transmembrane receptor protein tyrosine kinase activity; transmembrane signaling receptor activity; epidermal growth factor receptor activity; epidermal growth factor receptor activity; epidermal growth factor receptor activity; epidermal growth factor receptor activity; epidermal growth factor receptor activity; protein binding; ATP binding; kinase activity; transferase activity; enzyme binding; kinase binding; protein phosphatase binding; protein tyrosine kinase activator activity; ubiquitin protein ligase binding; identical protein binding; cadherin binding; epidermal growth factor binding; epidermal growth factor binding; actin filament binding; ATPase binding,"Golgi membrane; extracellular region; extracellular space; nucleus; nucleus; cytoplasm; endosome; endosome; endosome; endoplasmic reticulum; endoplasmic reticulum membrane; Golgi apparatus; Golgi apparatus; cytosol; plasma membrane; plasma membrane; plasma membrane; plasma membrane; plasma membrane; focal adhesion; cilium; basal plasma membrane; cell surface; cell surface; endosome membrane; endosome membrane; endosome membrane; membrane; membrane; basolateral plasma membrane; basolateral plasma membrane; cell junction; endocytic vesicle; clathrin-coated endocytic vesicle membrane; early endosome membrane; nuclear membrane; ruffle membrane; protein-containing complex; ciliary basal body; receptor complex; receptor complex; receptor complex; membrane raft; membrane raft; perinuclear region of cytoplasm; perinuclear region of cytoplasm; Shc-EGFR complex; multivesicular body, internal vesicle lumen; intracellular vesicle"
NAPEPLD,N-acyl phosphatidylethanolamine phospholipase D,"NAPEPLD is a phospholipase D type enzyme that catalyzes the release of N-acylethanolamine (NAE) from N-acyl-phosphatidylethanolamine (NAPE) in the second step of the biosynthesis of N-acylethanolamine (Okamoto et al., 2004 [PubMed 14634025]).[supplied by OMIM, Oct 2008].",temperature homeostasis; temperature homeostasis; lipid metabolic process; phospholipid metabolic process; phospholipid catabolic process; lipid catabolic process; response to isolation stress; host-mediated regulation of intestinal microbiota composition; host-mediated regulation of intestinal microbiota composition; positive regulation of inflammatory response; positive regulation of inflammatory response; N-acylethanolamine metabolic process; N-acylethanolamine metabolic process; N-acylphosphatidylethanolamine metabolic process; N-acylphosphatidylethanolamine metabolic process; N-acylphosphatidylethanolamine metabolic process; positive regulation of brown fat cell differentiation; positive regulation of brown fat cell differentiation; negative regulation of eating behavior,phospholipase activity; zinc ion binding; zinc ion binding; hydrolase activity; bile acid binding; identical protein binding; metal ion binding; N-acylphosphatidylethanolamine-specific phospholipase D activity; N-acylphosphatidylethanolamine-specific phospholipase D activity; N-acylphosphatidylethanolamine-specific phospholipase D activity; N-acylphosphatidylethanolamine-specific phospholipase D activity,Golgi membrane; nucleus; nuclear envelope; nuclear envelope; nucleoplasm; nucleoplasm; cytoplasm; endosome; early endosome; Golgi apparatus; Golgi apparatus; membrane; smooth endoplasmic reticulum membrane; early endosome membrane; photoreceptor outer segment membrane; presynaptic membrane; neuron projection; neuronal cell body; postsynaptic membrane; extracellular exosome; hippocampal mossy fiber to CA3 synapse; presynapse
TRAPPC9,trafficking protein particle complex subunit 9,"This gene encodes a protein that likely plays a role in NF-kappa-B signaling. Mutations in this gene have been associated with autosomal-recessive cognitive disability. Alternatively spliced transcript variants have been described.[provided by RefSeq, Feb 2010].",endoplasmic reticulum to Golgi vesicle-mediated transport; vesicle coating; cerebral cortex development; cell differentiation; neuron differentiation; vesicle tethering,protein binding,cytoplasm; cytoplasm; endoplasmic reticulum; Golgi apparatus; trans-Golgi network; cytosol; TRAPP complex; TRAPPII protein complex
RPS19,ribosomal protein S19,"Ribosomes, the organelles that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of 4 RNA species and approximately 80 structurally distinct proteins. This gene encodes a ribosomal protein that is a component of the 40S subunit. The protein belongs to the S19E family of ribosomal proteins. It is located in the cytoplasm. Mutations in this gene cause Diamond-Blackfan anemia (DBA), a constitutional erythroblastopenia characterized by absent or decreased erythroid precursors, in a subset of patients. This suggests a possible extra-ribosomal function for this gene in erythropoietic differentiation and proliferation, in addition to its ribosomal function. Higher expression levels of this gene in some primary colon carcinomas compared to matched normal colon tissues has been observed. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed through the genome. [provided by RefSeq, Jul 2008].","ribosomal small subunit assembly; ribosomal small subunit assembly; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); cytoplasmic translation; cytoplasmic translation; monocyte chemotaxis; rRNA processing; translation; translation; nucleolus organization; erythrocyte differentiation; maturation of SSU-rRNA; killing of cells of another organism; ribosomal small subunit biogenesis; ribosomal small subunit biogenesis; defense response to Gram-negative bacterium; positive regulation of respiratory burst involved in inflammatory response; negative regulation of respiratory burst involved in inflammatory response; antimicrobial humoral immune response mediated by antimicrobial peptide",RNA binding; RNA binding; structural constituent of ribosome; structural constituent of ribosome; structural constituent of ribosome; structural constituent of ribosome; structural constituent of ribosome; protein binding; fibroblast growth factor binding; protein kinase binding; identical protein binding,nucleus; nucleoplasm; nucleoplasm; nucleolus; nucleolus; cytoplasm; cytoplasm; cytoplasm; cytosol; cytosol; ribosome; ribosome; focal adhesion; postsynaptic density; postsynaptic density; membrane; cytosolic ribosome; cytosolic small ribosomal subunit; cytosolic small ribosomal subunit; cytosolic small ribosomal subunit; cytosolic small ribosomal subunit; small-subunit processome; extracellular exosome; ribonucleoprotein complex
IRF2BPL,interferon regulatory factor 2 binding protein like,"This gene encodes a transcription factor that may play a role in regulating female reproductive function. [provided by RefSeq, Jun 2012].",negative regulation of transcription by RNA polymerase II; nervous system development; protein ubiquitination; positive regulation of transcription by RNA polymerase II; development of secondary female sexual characteristics,protein binding; zinc ion binding; transferase activity; metal ion binding; ubiquitin protein ligase activity,extracellular space; nucleus; nucleus; nucleus; nucleoplasm
PHF2,PHD finger protein 2,"This gene encodes a protein which contains a zinc finger-like PHD (plant homeodomain) finger, distinct from other classes of zinc finger motifs, and a hydrophobic and highly conserved domain. The PHD finger shows the typical Cys4-His-Cys3 arrangement. PHD finger genes are thought to belong to a diverse group of transcriptional regulators possibly affecting eukaryotic gene expression by influencing chromatin structure. [provided by RefSeq, Jul 2008].",liver development; chromatin organization; chromatin remodeling; regulation of transcription by RNA polymerase II; protein demethylation; transcription initiation-coupled chromatin remodeling; transcription initiation-coupled chromatin remodeling; positive regulation of DNA-templated transcription; negative regulation of rDNA heterochromatin formation,transcription coregulator activity; transcription coactivator activity; iron ion binding; protein binding; zinc ion binding; zinc ion binding; oxidoreductase activity; histone H3K9 demethylase activity; histone H4K20 demethylase activity; histone H4K20 demethylase activity; metal ion binding; dioxygenase activity; histone H3K4me3 reader activity; histone H3 demethylase activity,"chromosome, centromeric region; kinetochore; kinetochore; nucleus; nucleus; nucleoplasm; nucleoplasm; chromosome; nucleolus; nucleolus"
PRIM1,DNA primase subunit 1,"The replication of DNA in eukaryotic cells is carried out by a complex chromosomal replication apparatus, in which DNA polymerase alpha and primase are two key enzymatic components. Primase, which is a heterodimer of a small subunit and a large subunit, synthesizes small RNA primers for the Okazaki fragments made during discontinuous DNA replication. The protein encoded by this gene is the small, 49 kDa primase subunit. [provided by RefSeq, Jul 2008].","DNA replication; DNA replication, synthesis of primer; DNA replication, synthesis of primer; DNA replication, synthesis of primer; DNA replication initiation; DNA replication initiation",magnesium ion binding; DNA-directed RNA polymerase activity; DNA-directed RNA polymerase activity; DNA-directed RNA polymerase activity; DNA-directed RNA polymerase activity; protein binding; zinc ion binding; transferase activity; nucleotidyltransferase activity; ribonucleotide binding; metal ion binding,DNA-directed RNA polymerase complex; nucleoplasm; alpha DNA polymerase:primase complex; alpha DNA polymerase:primase complex; alpha DNA polymerase:primase complex; alpha DNA polymerase:primase complex; membrane
CEP120,centrosomal protein 120,"This gene encodes a protein that functions in the microtubule-dependent coupling of the nucleus and the centrosome. A similar protein in mouse plays a role in both interkinetic nuclear migration, which is a characteristic pattern of nuclear movement in neural progenitors, and in neural progenitor self-renewal. Mutations in this gene are predicted to result in neurogenic defects. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2009].",microtubule cytoskeleton organization; centrosome cycle; centrosome cycle; cell population proliferation; positive regulation of centrosome duplication; positive regulation of centrosome duplication; cerebral cortex development; neurogenesis; interkinetic nuclear migration; interkinetic nuclear migration; astral microtubule organization; regulation of protein localization; regulation of microtubule-based process; positive regulation of cilium assembly; positive regulation of cilium assembly; positive regulation of centriole elongation; positive regulation of centriole elongation; positive regulation of establishment of protein localization,protein binding,cytoplasm; centrosome; centrosome; centrosome; centriole; centriole; cytoskeleton
