filename,read_counts
HP1502401_H2.fastq,1462133
HP1502401_H3.fastq,1796167
HP1502401_H4.fastq,1933021
HP1502401_H5.fastq,2373931
HP1502401_H6.fastq,1111400
HP1502401_H8.fastq,2127793
HP1502401_I10.fastq,1012960
HP1502401_I11.fastq,1162888
HP1502401_I12.fastq,1126444
HP1502401_I14.fastq,2031274
HP1502401_I15.fastq,1651362
HP1502401_I16.fastq,1214400
HP1502401_I17.fastq,1057580
HP1502401_I18.fastq,1247593
HP1502401_I1.fastq,2707728
HP1502401_I21.fastq,2922750
HP1502401_I22.fastq,1771301
HP1502401_I23.fastq,2327091
HP1502401_I24.fastq,2145471
HP1502401_I2.fastq,2589102
HP1502401_I4.fastq,2278177
HP1502401_I6.fastq,1809700
HP1502401_I8.fastq,1049537
HP1502401_I9.fastq,1408881
HP1502401_J10.fastq,3424816
HP1502401_J11.fastq,1120459
HP1502401_J12.fastq,2709198
HP1502401_J15.fastq,1432474
HP1502401_J16.fastq,1087588
HP1502401_J17.fastq,2289619
HP1502401_J18.fastq,2392540
HP1502401_J19.fastq,2227235
HP1502401_J1.fastq,2717792
HP1502401_J20.fastq,2645377
HP1502401_J21.fastq,2786095
HP1502401_J22.fastq,2100037
HP1502401_J23.fastq,2772301
HP1502401_J24.fastq,2122215
HP1502401_J2.fastq,3220878
HP1502401_J4.fastq,1533020
HP1502401_J6.fastq,3062469
HP1502401_J8.fastq,2682974
HP1502401_K10.fastq,2490487
HP1502401_K14.fastq,2029213
HP1502401_K16.fastq,1589011
HP1502401_K17.fastq,1199770
HP1502401_K19.fastq,1099936
HP1502401_K20.fastq,2272380
HP1502401_K21.fastq,2768378
HP1502401_K22.fastq,1897165
HP1502401_K23.fastq,1558316
HP1502401_K24.fastq,2552097
HP1502401_K2.fastq,1974056
HP1502401_K3.fastq,1333671
HP1502401_K5.fastq,2283847
HP1502401_K6.fastq,1909308
HP1502401_K9.fastq,1964755
HP1502401_L10.fastq,2559545
HP1502401_L11.fastq,991884
HP1502401_L12.fastq,2077141
HP1502401_L13.fastq,754186
HP1502401_L14.fastq,1899378
HP1502401_L15.fastq,1712789
HP1502401_L16.fastq,1553180
HP1502401_L17.fastq,1269322
HP1502401_L18.fastq,828762
HP1502401_L1.fastq,2840872
HP1502401_L20.fastq,1748986
HP1502401_L21.fastq,2404472
HP1502401_L22.fastq,2195052
HP1502401_L23.fastq,2268214
HP1502401_L2.fastq,1741671
HP1502401_L3.fastq,1494910
HP1502401_L4.fastq,985878
HP1502401_L5.fastq,1720320
HP1502401_L7.fastq,2074468
HP1502401_M11.fastq,1553346
HP1502401_M12.fastq,1529498
HP1502401_M14.fastq,2251527
HP1502401_M15.fastq,1143116
HP1502401_M16.fastq,1088341
HP1502401_M17.fastq,978383
HP1502401_M18.fastq,1523429
HP1502401_M19.fastq,2487615
HP1502401_M1.fastq,1402787
HP1502401_M20.fastq,2756131
HP1502401_M21.fastq,2448172
HP1502401_M22.fastq,2651708
HP1502401_M23.fastq,2408002
HP1502401_M24.fastq,2811618
HP1502401_M2.fastq,2472019
HP1502401_M3.fastq,936600
HP1502401_M4.fastq,1478401
HP1502401_M5.fastq,1813506
HP1502401_M7.fastq,2650577
HP1502401_M8.fastq,1167901
HP1502401_N10.fastq,2878341
HP1502401_N12.fastq,1552986
HP1502401_N15.fastq,2015943
HP1502401_N16.fastq,1920270
HP1502401_N17.fastq,1757507
HP1502401_N18.fastq,2075555
HP1502401_N19.fastq,2347846
HP1502401_N1.fastq,2342836
HP1502401_N20.fastq,1521556
HP1502401_N21.fastq,1165594
HP1502401_N23.fastq,1905650
HP1502401_N2.fastq,1624115
HP1502401_N3.fastq,1763446
HP1502401_N7.fastq,808107
HP1502401_N8.fastq,2831015
HP1502401_O10.fastq,839520
HP1502401_O14.fastq,939489
HP1502401_O16.fastq,1296883
HP1502401_O18.fastq,2171124
HP1502401_O1.fastq,759606
HP1502401_O20.fastq,1962215
HP1502401_O21.fastq,2034382
HP1502401_O22.fastq,2054965
HP1502401_O23.fastq,2120736
HP1502401_O2.fastq,2962742
HP1502401_O7.fastq,2172391
HP1504101T2D_A10.fastq,2457235
HP1504101T2D_A12.fastq,2052013
HP1504101T2D_A13.fastq,1489265
HP1504101T2D_A14.fastq,764514
HP1504101T2D_A15.fastq,1014275
HP1504101T2D_A17.fastq,862529
HP1504101T2D_A18.fastq,1798456
HP1504101T2D_A19.fastq,1820217
HP1504101T2D_A20.fastq,1748483
HP1504101T2D_A22.fastq,1317696
HP1504101T2D_A23.fastq,1126615
HP1504101T2D_A24.fastq,2366969
HP1504101T2D_A4.fastq,1577763
HP1504101T2D_A5.fastq,1669879
HP1504101T2D_A6.fastq,2227761
HP1504101T2D_A8.fastq,1965403
HP1504101T2D_B10.fastq,810643
HP1504101T2D_B11.fastq,1399464
HP1504101T2D_B12.fastq,1544434
HP1504101T2D_B13.fastq,1440065
HP1504101T2D_B14.fastq,785116
HP1504101T2D_B16.fastq,1281625
HP1504101T2D_B17.fastq,1662511
HP1504101T2D_B18.fastq,1817504
HP1504101T2D_B20.fastq,1012736
HP1504101T2D_B21.fastq,1796660
HP1504101T2D_B22.fastq,982719
HP1504101T2D_B4.fastq,1075682
HP1504101T2D_B5.fastq,1269808
HP1504101T2D_B6.fastq,1510397
HP1504101T2D_B7.fastq,877474
HP1504101T2D_B8.fastq,1487196
HP1504101T2D_C10.fastq,869931
HP1504101T2D_C11.fastq,1592868
HP1504101T2D_C12.fastq,921906
HP1504101T2D_C14.fastq,1516469
HP1504101T2D_C15.fastq,1173674
HP1504101T2D_C16.fastq,1481373
HP1504101T2D_C17.fastq,1520585
HP1504101T2D_C18.fastq,2036843
HP1504101T2D_C1.fastq,972648
HP1504101T2D_C20.fastq,2216160
HP1504101T2D_C21.fastq,1737165
HP1504101T2D_C22.fastq,2139584
HP1504101T2D_C24.fastq,1744576
HP1504101T2D_C4.fastq,1118607
HP1504101T2D_C9.fastq,948060
HP1504101T2D_D12.fastq,1424769
HP1504101T2D_D13.fastq,2047356
HP1504101T2D_D15.fastq,980389
HP1504101T2D_D16.fastq,964023
HP1504101T2D_D17.fastq,1764889
HP1504101T2D_D18.fastq,2007085
HP1504101T2D_D19.fastq,2137397
HP1504101T2D_D21.fastq,2211959
HP1504101T2D_D23.fastq,2114887
HP1504101T2D_D24.fastq,2219282
HP1504101T2D_D2.fastq,1910421
HP1504101T2D_D5.fastq,1907618
HP1504101T2D_D6.fastq,1358538
HP1504101T2D_D7.fastq,1742383
HP1504101T2D_D8.fastq,1788374
HP1504101T2D_D9.fastq,1805951
HP1504101T2D_E11.fastq,1077866
HP1504101T2D_E14.fastq,1611845
HP1504101T2D_E15.fastq,1773778
HP1504101T2D_E16.fastq,1457413
HP1504101T2D_E18.fastq,1653311
HP1504101T2D_E19.fastq,1982698
HP1504101T2D_E20.fastq,1902141
HP1504101T2D_E21.fastq,2142358
HP1504101T2D_E22.fastq,2289205
HP1504101T2D_E23.fastq,1649765
HP1504101T2D_E24.fastq,2693100
HP1504101T2D_E4.fastq,1428278
HP1504101T2D_E6.fastq,1336624
HP1504101T2D_E7.fastq,1088897
HP1504101T2D_E8.fastq,800842
HP1504101T2D_E9.fastq,1400713
HP1504101T2D_F10.fastq,2071325
HP1504101T2D_F11.fastq,875974
HP1504101T2D_F12.fastq,1922638
HP1504101T2D_F13.fastq,1873665
HP1504101T2D_F14.fastq,1528501
HP1504101T2D_F15.fastq,1383995
HP1504101T2D_F16.fastq,1507893
HP1504101T2D_F17.fastq,2039563
HP1504101T2D_F18.fastq,1193704
HP1504101T2D_F19.fastq,2323877
HP1504101T2D_F1.fastq,974971
HP1504101T2D_F20.fastq,2639731
HP1504101T2D_F21.fastq,1201307
HP1504101T2D_F22.fastq,2440866
HP1504101T2D_F24.fastq,1357836
HP1504101T2D_F2.fastq,1899267
HP1504101T2D_F3.fastq,1079085
HP1504101T2D_F5.fastq,1630421
HP1504101T2D_F7.fastq,1270864
HP1504101T2D_F8.fastq,870912
HP1504101T2D_F9.fastq,887129
HP1504101T2D_G10.fastq,1418963
HP1504101T2D_G12.fastq,1050650
HP1504101T2D_G14.fastq,1580354
HP1504101T2D_G16.fastq,1168933
HP1504101T2D_G17.fastq,1968301
HP1504101T2D_G19.fastq,1974980
HP1504101T2D_G1.fastq,2037607
HP1504101T2D_G21.fastq,2470035
HP1504101T2D_G22.fastq,1242244
HP1504101T2D_G23.fastq,2134973
HP1504101T2D_G24.fastq,2265447
HP1504101T2D_G2.fastq,1874737
HP1504101T2D_G3.fastq,1240009
HP1504101T2D_G4.fastq,1427504
HP1504101T2D_G5.fastq,1442688
HP1504101T2D_G8.fastq,1447772
HP1504101T2D_G9.fastq,1003819
HP1504101T2D_H13.fastq,847241
HP1504101T2D_H14.fastq,1547719
HP1504101T2D_H15.fastq,1185480
HP1504101T2D_H17.fastq,1664795
HP1504101T2D_H18.fastq,2171616
HP1504101T2D_H1.fastq,1297759
HP1504101T2D_H20.fastq,2266734
HP1504101T2D_H21.fastq,1699781
HP1504101T2D_H22.fastq,2201723
HP1504101T2D_H23.fastq,2216227
HP1504101T2D_H24.fastq,2415262
HP1504101T2D_H2.fastq,1368826
HP1504101T2D_H4.fastq,972414
HP1504101T2D_H5.fastq,1811545
HP1504101T2D_H6.fastq,831534
HP1504101T2D_H7.fastq,1516302
HP1504101T2D_H9.fastq,1832327
HP1504101T2D_I10.fastq,1138806
HP1504101T2D_I11.fastq,967764
HP1504101T2D_I13.fastq,970314
HP1504101T2D_I14.fastq,2010905
HP1504101T2D_I15.fastq,1426460
HP1504101T2D_I16.fastq,1443547
HP1504101T2D_I17.fastq,1246793
HP1504101T2D_I18.fastq,1708830
HP1504101T2D_I19.fastq,1428703
HP1504101T2D_I1.fastq,1178469
HP1504101T2D_I20.fastq,2548386
HP1504101T2D_I21.fastq,1362734
HP1504101T2D_I22.fastq,2326021
HP1504101T2D_I23.fastq,1876886
HP1504101T2D_I24.fastq,2968082
HP1504101T2D_I2.fastq,1065812
HP1504101T2D_I4.fastq,838407
HP1504101T2D_I5.fastq,2020408
HP1504101T2D_I6.fastq,1962921
HP1504101T2D_I8.fastq,1593707
HP1504101T2D_J11.fastq,1721161
HP1504101T2D_J12.fastq,1123305
HP1504101T2D_J13.fastq,1833436
HP1504101T2D_J15.fastq,1261857
HP1504101T2D_J16.fastq,1500929
HP1504101T2D_J1.fastq,1337884
HP1504101T2D_J20.fastq,2140588
HP1504101T2D_J22.fastq,2630732
HP1504101T2D_J24.fastq,2720448
HP1504101T2D_J2.fastq,2015204
HP1504101T2D_J3.fastq,729168
HP1504101T2D_J4.fastq,810940
HP1504101T2D_J5.fastq,1957296
HP1504101T2D_J6.fastq,1593797
HP1504101T2D_J7.fastq,1396059
HP1504101T2D_J8.fastq,630729
HP1504101T2D_J9.fastq,1475534
HP1504101T2D_K10.fastq,1133989
HP1504101T2D_K11.fastq,1128
HP1504101T2D_K12.fastq,986044
HP1504101T2D_K13.fastq,1752
HP1504101T2D_K14.fastq,1388782
HP1504101T2D_K15.fastq,1883
HP1504101T2D_K16.fastq,297576
HP1504101T2D_K17.fastq,2026288
HP1504101T2D_K18.fastq,1930106
HP1504101T2D_K19.fastq,1568518
HP1504101T2D_K1.fastq,1155
HP1504101T2D_K20.fastq,2333380
HP1504101T2D_K21.fastq,1313727
HP1504101T2D_K22.fastq,2012799
HP1504101T2D_K23.fastq,1963620
HP1504101T2D_K24.fastq,2550579
HP1504101T2D_K2.fastq,1434554
HP1504101T2D_K3.fastq,1285
HP1504101T2D_K4.fastq,1797964
HP1504101T2D_K5.fastq,1786
HP1504101T2D_K6.fastq,646784
HP1504101T2D_K7.fastq,1716
HP1504101T2D_K8.fastq,1567870
HP1504101T2D_K9.fastq,2000
HP1504101T2D_L10.fastq,2054732
HP1504101T2D_L11.fastq,1800584
HP1504101T2D_L12.fastq,358146
HP1504101T2D_L13.fastq,1028499
HP1504101T2D_L14.fastq,1729127
HP1504101T2D_L15.fastq,938564
HP1504101T2D_L16.fastq,3708
HP1504101T2D_L17.fastq,1081788
HP1504101T2D_L18.fastq,1766691
HP1504101T2D_L19.fastq,1038445
HP1504101T2D_L1.fastq,1556040
HP1504101T2D_L20.fastq,452777
HP1504101T2D_L21.fastq,1839248
HP1504101T2D_L22.fastq,1070221
HP1504101T2D_L23.fastq,1787236
HP1504101T2D_L24.fastq,2230954
HP1504101T2D_L2.fastq,1758004
HP1504101T2D_L3.fastq,1200332
HP1504101T2D_L4.fastq,1378429
HP1504101T2D_L5.fastq,622000
HP1504101T2D_L6.fastq,16227
HP1504101T2D_L7.fastq,1294167
HP1504101T2D_L8.fastq,2087763
HP1504101T2D_L9.fastq,920165
HP1504101T2D_M10.fastq,1902270
HP1504101T2D_M11.fastq,113926
HP1504101T2D_M12.fastq,517513
HP1504101T2D_M13.fastq,272337
HP1504101T2D_M14.fastq,127144
HP1504101T2D_M15.fastq,1221443
HP1504101T2D_M16.fastq,503805
HP1504101T2D_M17.fastq,1279586
HP1504101T2D_M18.fastq,2273328
HP1504101T2D_M19.fastq,2377543
HP1504101T2D_M1.fastq,1676799
HP1504101T2D_M20.fastq,1127356
HP1504101T2D_M21.fastq,2462727
HP1504101T2D_M22.fastq,601278
HP1504101T2D_M23.fastq,2592244
HP1504101T2D_M24.fastq,3186394
HP1504101T2D_M2.fastq,1964003
HP1504101T2D_M3.fastq,746912
HP1504101T2D_M4.fastq,865051
HP1504101T2D_M5.fastq,1697558
HP1504101T2D_M6.fastq,1224096
HP1504101T2D_M7.fastq,1490290
HP1504101T2D_M8.fastq,1419428
HP1504101T2D_M9.fastq,943633
HP1504101T2D_N10.fastq,1924311
HP1504101T2D_N11.fastq,419535
HP1504101T2D_N12.fastq,2068733
HP1504101T2D_N13.fastq,1098037
HP1504101T2D_N14.fastq,38801
HP1504101T2D_N15.fastq,638450
HP1504101T2D_N16.fastq,1502606
HP1504101T2D_N17.fastq,2010710
HP1504101T2D_N18.fastq,595053
HP1504101T2D_N19.fastq,1835294
HP1504101T2D_N1.fastq,1173885
HP1504101T2D_N20.fastq,2388107
HP1504101T2D_N21.fastq,951124
HP1504101T2D_N22.fastq,2148275
HP1504101T2D_N23.fastq,715084
HP1504101T2D_N24.fastq,2479624
HP1504101T2D_N2.fastq,1019625
HP1504101T2D_N3.fastq,220403
HP1504101T2D_N4.fastq,660376
HP1504101T2D_N5.fastq,1462821
HP1504101T2D_N6.fastq,1726884
HP1504101T2D_N7.fastq,1005583
HP1504101T2D_N8.fastq,2339498
HP1504101T2D_N9.fastq,1530197
HP1504101T2D_O10.fastq,1708109
HP1504101T2D_O11.fastq,1815654
HP1504101T2D_O12.fastq,2189546
HP1504101T2D_O13.fastq,1708062
HP1504101T2D_O14.fastq,1972573
HP1504101T2D_O15.fastq,107402
HP1504101T2D_O16.fastq,1803211
HP1504101T2D_O17.fastq,1565733
HP1504101T2D_O18.fastq,651214
HP1504101T2D_O19.fastq,960787
HP1504101T2D_O1.fastq,838078
HP1504101T2D_O20.fastq,2074530
HP1504101T2D_O21.fastq,1013578
HP1504101T2D_O22.fastq,2715729
HP1504101T2D_O23.fastq,2011020
HP1504101T2D_O24.fastq,3424446
HP1504101T2D_O2.fastq,767152
HP1504101T2D_O3.fastq,1425549
HP1504101T2D_O4.fastq,1063801
HP1504101T2D_O5.fastq,1035944
HP1504101T2D_O6.fastq,1677806
HP1504101T2D_O7.fastq,559684
HP1504101T2D_O8.fastq,704896
HP1504101T2D_O9.fastq,997315
HP1504101T2D_P10.fastq,495873
HP1504101T2D_P11.fastq,1461764
HP1504101T2D_P12.fastq,1059018
HP1504101T2D_P14.fastq,1660059
HP1504101T2D_P15.fastq,185558
HP1504101T2D_P16.fastq,271068
HP1504101T2D_P17.fastq,1480345
HP1504101T2D_P18.fastq,2343707
HP1504101T2D_P19.fastq,1033984
HP1504101T2D_P1.fastq,277345
HP1504101T2D_P20.fastq,1134756
HP1504101T2D_P21.fastq,1949142
HP1504101T2D_P22.fastq,1642101
HP1504101T2D_P23.fastq,751665
HP1504101T2D_P24.fastq,2960005
HP1504101T2D_P2.fastq,1008290
HP1504101T2D_P3.fastq,1657005
HP1504101T2D_P4.fastq,1130770
HP1504101T2D_P5.fastq,2045767
HP1504101T2D_P6.fastq,1494
HP1504101T2D_P7.fastq,1551905
HP1504101T2D_P8.fastq,701809
HP1504101T2D_P9.fastq,1273648
HP1504901_A10.fastq,443984
HP1504901_A11.fastq,413256
HP1504901_A12.fastq,153409
HP1504901_A13.fastq,136401
HP1504901_A14.fastq,592594
HP1504901_A15.fastq,165785
HP1504901_A16.fastq,406006
HP1504901_A17.fastq,173271
HP1504901_A18.fastq,222768
HP1504901_A19.fastq,661557
HP1504901_A1.fastq,156561
HP1504901_A20.fastq,236038
HP1504901_A21.fastq,855007
HP1504901_A22.fastq,643088
HP1504901_A23.fastq,713982
HP1504901_A24.fastq,154057
HP1504901_A2.fastq,634248
HP1504901_A3.fastq,269673
HP1504901_A4.fastq,292765
HP1504901_A5.fastq,436081
HP1504901_A6.fastq,300351
HP1504901_A7.fastq,205711
HP1504901_A8.fastq,277118
HP1504901_A9.fastq,456551
HP1504901_B10.fastq,791229
HP1504901_B11.fastq,753163
HP1504901_B12.fastq,109836
HP1504901_B13.fastq,943400
HP1504901_B14.fastq,1055853
HP1504901_B15.fastq,526412
HP1504901_B16.fastq,839622
HP1504901_B17.fastq,295197
HP1504901_B18.fastq,1337936
HP1504901_B19.fastq,357326
HP1504901_B1.fastq,396209
HP1504901_B20.fastq,1237180
HP1504901_B21.fastq,878586
HP1504901_B22.fastq,1179698
HP1504901_B23.fastq,886231
HP1504901_B24.fastq,703073
HP1504901_B2.fastq,779648
HP1504901_B3.fastq,618227
HP1504901_B4.fastq,794745
HP1504901_B5.fastq,369854
HP1504901_B6.fastq,742228
HP1504901_B7.fastq,500511
HP1504901_B8.fastq,859583
HP1504901_B9.fastq,742023
HP1504901_C10.fastq,620305
HP1504901_C11.fastq,725804
HP1504901_C12.fastq,149948
HP1504901_C13.fastq,728499
HP1504901_C14.fastq,777696
HP1504901_C15.fastq,334471
HP1504901_C16.fastq,794359
HP1504901_C17.fastq,831475
HP1504901_C18.fastq,248246
HP1504901_C19.fastq,284317
HP1504901_C1.fastq,114999
HP1504901_C20.fastq,170153
HP1504901_C21.fastq,144777
HP1504901_C22.fastq,731297
HP1504901_C23.fastq,814794
HP1504901_C24.fastq,310470
HP1504901_C2.fastq,692195
HP1504901_C3.fastq,234086
HP1504901_C4.fastq,313164
HP1504901_C5.fastq,530882
HP1504901_C6.fastq,199590
HP1504901_C7.fastq,208540
HP1504901_C8.fastq,400516
HP1504901_C9.fastq,342452
HP1504901_D10.fastq,330851
HP1504901_D11.fastq,218080
HP1504901_D12.fastq,629585
HP1504901_D13.fastq,1054375
HP1504901_D14.fastq,706128
HP1504901_D15.fastq,648619
HP1504901_D16.fastq,810271
HP1504901_D17.fastq,698781
HP1504901_D18.fastq,974994
HP1504901_D19.fastq,277608
HP1504901_D1.fastq,309225
HP1504901_D20.fastq,642265
HP1504901_D21.fastq,799578
HP1504901_D22.fastq,1153421
HP1504901_D23.fastq,1123940
HP1504901_D24.fastq,754986
HP1504901_D2.fastq,1000291
HP1504901_D3.fastq,255168
HP1504901_D4.fastq,919440
HP1504901_D5.fastq,734068
HP1504901_D6.fastq,591574
HP1504901_D7.fastq,622178
HP1504901_D8.fastq,342814
HP1504901_D9.fastq,922904
HP1504901_E10.fastq,726128
HP1504901_E11.fastq,427905
HP1504901_E12.fastq,387332
HP1504901_E13.fastq,198732
HP1504901_E14.fastq,1008338
HP1504901_E15.fastq,16376
HP1504901_E16.fastq,863090
HP1504901_E17.fastq,312281
HP1504901_E18.fastq,876852
HP1504901_E19.fastq,588856
HP1504901_E1.fastq,188390
HP1504901_E20.fastq,675096
HP1504901_E21.fastq,936855
HP1504901_E22.fastq,549462
HP1504901_E23.fastq,891826
HP1504901_E24.fastq,730099
HP1504901_E2.fastq,904729
HP1504901_E3.fastq,360703
HP1504901_E4.fastq,561527
HP1504901_E5.fastq,322038
HP1504901_E6.fastq,688705
HP1504901_E7.fastq,211016
HP1504901_E8.fastq,406694
HP1504901_E9.fastq,740774
HP1504901_F10.fastq,1085803
HP1504901_F11.fastq,451409
HP1504901_F12.fastq,682426
HP1504901_F13.fastq,541151
HP1504901_F14.fastq,1155709
HP1504901_F15.fastq,472923
HP1504901_F16.fastq,949812
HP1504901_F17.fastq,880065
HP1504901_F18.fastq,1174621
HP1504901_F19.fastq,935243
HP1504901_F1.fastq,413293
HP1504901_F20.fastq,1320016
HP1504901_F21.fastq,409370
HP1504901_F22.fastq,623205
HP1504901_F23.fastq,796720
HP1504901_F24.fastq,869280
HP1504901_F2.fastq,992553
HP1504901_F3.fastq,622144
HP1504901_F4.fastq,999188
HP1504901_F5.fastq,977609
HP1504901_F6.fastq,878474
HP1504901_F7.fastq,203724
HP1504901_F8.fastq,1154148
HP1504901_F9.fastq,956377
HP1504901_G10.fastq,773848
HP1504901_G11.fastq,905795
HP1504901_G12.fastq,491928
HP1504901_G13.fastq,714680
HP1504901_G14.fastq,254976
HP1504901_G15.fastq,654460
HP1504901_G16.fastq,625515
HP1504901_G17.fastq,275455
HP1504901_G18.fastq,973492
HP1504901_G19.fastq,872937
HP1504901_G1.fastq,144090
HP1504901_G20.fastq,1061792
HP1504901_G21.fastq,542483
HP1504901_G22.fastq,350914
HP1504901_G23.fastq,411564
HP1504901_G24.fastq,594717
HP1504901_G2.fastq,858982
HP1504901_G3.fastq,583688
HP1504901_G4.fastq,728348
HP1504901_G5.fastq,322437
HP1504901_G6.fastq,372930
HP1504901_G7.fastq,204918
HP1504901_G8.fastq,1019574
HP1504901_G9.fastq,839343
HP1504901_H10.fastq,382041
HP1504901_H11.fastq,631204
HP1504901_H12.fastq,641590
HP1504901_H13.fastq,174170
HP1504901_H14.fastq,865751
HP1504901_H15.fastq,193204
HP1504901_H16.fastq,1075971
HP1504901_H17.fastq,831667
HP1504901_H18.fastq,913197
HP1504901_H19.fastq,690777
HP1504901_H1.fastq,403033
HP1504901_H20.fastq,363359
HP1504901_H21.fastq,216964
HP1504901_H22.fastq,1200379
HP1504901_H23.fastq,296135
HP1504901_H24.fastq,276503
HP1504901_H2.fastq,434853
HP1504901_H3.fastq,184868
HP1504901_H4.fastq,853945
HP1504901_H5.fastq,787641
HP1504901_H6.fastq,323329
HP1504901_H7.fastq,186648
HP1504901_H8.fastq,914422
HP1504901_H9.fastq,157578
HP1504901_I10.fastq,902885
HP1504901_I11.fastq,277284
HP1504901_I12.fastq,423901
HP1504901_I13.fastq,688953
HP1504901_I14.fastq,484248
HP1504901_I15.fastq,354139
