run_accession	experiment_accession	library_name	submitted_ftp	sample_title	sample_accession
ERR1630104	ERX1700437	AZ_H5_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630104/AZ_H5.fastq.gz	AZ_H5	SAMEA4437112
ERR1630107	ERX1700440	AZ_H8_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630107/AZ_H8.fastq.gz	AZ_H8	SAMEA4437115
ERR1630108	ERX1700441	AZ_H9_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630108/AZ_H9.fastq.gz	AZ_H9	SAMEA4437116
ERR1630109	ERX1700442	HP1502401_A1_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630109/HP1502401_A1.fastq.gz	HP1502401_A1	SAMEA4437117
ERR1630112	ERX1700445	HP1502401_A12_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630112/HP1502401_A12.fastq.gz	HP1502401_A12	SAMEA4437120
ERR1630113	ERX1700446	HP1502401_A14_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630113/HP1502401_A14.fastq.gz	HP1502401_A14	SAMEA4437121
ERR1630114	ERX1700447	HP1502401_A15_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630114/HP1502401_A15.fastq.gz	HP1502401_A15	SAMEA4437122
ERR1630120	ERX1700453	HP1502401_A20_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630120/HP1502401_A20.fastq.gz	HP1502401_A20	SAMEA4437128
ERR1630129	ERX1700462	HP1502401_A7_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630129/HP1502401_A7.fastq.gz	HP1502401_A7	SAMEA4437137
ERR1630132	ERX1700465	HP1502401_B1_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630132/HP1502401_B1.fastq.gz	HP1502401_B1	SAMEA4437140
ERR1630136	ERX1700469	HP1502401_B13_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630136/HP1502401_B13.fastq.gz	HP1502401_B13	SAMEA4437144
ERR1630143	ERX1700476	HP1502401_B2_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630143/HP1502401_B2.fastq.gz	HP1502401_B2	SAMEA4437151
ERR1630144	ERX1700477	HP1502401_B20_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630144/HP1502401_B20.fastq.gz	HP1502401_B20	SAMEA4437152
ERR1630152	ERX1700485	HP1502401_B6_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630152/HP1502401_B6.fastq.gz	HP1502401_B6	SAMEA4437160
ERR1630153	ERX1700486	HP1502401_B7_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630153/HP1502401_B7.fastq.gz	HP1502401_B7	SAMEA4437161
ERR1630156	ERX1700489	HP1502401_C1_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630156/HP1502401_C1.fastq.gz	HP1502401_C1	SAMEA4437164
ERR1630157	ERX1700490	HP1502401_C10_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630157/HP1502401_C10.fastq.gz	HP1502401_C10	SAMEA4437165
ERR1630158	ERX1700491	HP1502401_C11_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630158/HP1502401_C11.fastq.gz	HP1502401_C11	SAMEA4437166
ERR1630161	ERX1700494	HP1502401_C15_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630161/HP1502401_C15.fastq.gz	HP1502401_C15	SAMEA4437169
ERR1630167	ERX1700500	HP1502401_C20_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630167/HP1502401_C20.fastq.gz	HP1502401_C20	SAMEA4437175
ERR1630173	ERX1700506	HP1502401_C4_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630173/HP1502401_C4.fastq.gz	HP1502401_C4	SAMEA4437181
ERR1630174	ERX1700507	HP1502401_C5_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630174/HP1502401_C5.fastq.gz	HP1502401_C5	SAMEA4437182
ERR1630175	ERX1700508	HP1502401_C6_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630175/HP1502401_C6.fastq.gz	HP1502401_C6	SAMEA4437183
ERR1630176	ERX1700509	HP1502401_C7_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630176/HP1502401_C7.fastq.gz	HP1502401_C7	SAMEA4437184
ERR1630178	ERX1700511	HP1502401_C9_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630178/HP1502401_C9.fastq.gz	HP1502401_C9	SAMEA4437186
ERR1630182	ERX1700515	HP1502401_D12_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630182/HP1502401_D12.fastq.gz	HP1502401_D12	SAMEA4437190
ERR1630193	ERX1700526	HP1502401_D22_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630193/HP1502401_D22.fastq.gz	HP1502401_D22	SAMEA4437201
ERR1630196	ERX1700529	HP1502401_D3_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630196/HP1502401_D3.fastq.gz	HP1502401_D3	SAMEA4437204
ERR1630199	ERX1700532	HP1502401_D6_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630199/HP1502401_D6.fastq.gz	HP1502401_D6	SAMEA4437207
ERR1630200	ERX1700533	HP1502401_D7_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630200/HP1502401_D7.fastq.gz	HP1502401_D7	SAMEA4437208
ERR1630203	ERX1700536	HP1502401_E1_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630203/HP1502401_E1.fastq.gz	HP1502401_E1	SAMEA4437211
ERR1630206	ERX1700539	HP1502401_E12_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630206/HP1502401_E12.fastq.gz	HP1502401_E12	SAMEA4437214
ERR1630209	ERX1700542	HP1502401_E16_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630209/HP1502401_E16.fastq.gz	HP1502401_E16	SAMEA4437217
ERR1630210	ERX1700543	HP1502401_E17_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630210/HP1502401_E17.fastq.gz	HP1502401_E17	SAMEA4437218
ERR1630217	ERX1700550	HP1502401_E23_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630217/HP1502401_E23.fastq.gz	HP1502401_E23	SAMEA4437225
ERR1630218	ERX1700551	HP1502401_E24_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630218/HP1502401_E24.fastq.gz	HP1502401_E24	SAMEA4437226
ERR1630219	ERX1700552	HP1502401_E3_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630219/HP1502401_E3.fastq.gz	HP1502401_E3	SAMEA4437227
ERR1630221	ERX1700554	HP1502401_E5_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630221/HP1502401_E5.fastq.gz	HP1502401_E5	SAMEA4437229
ERR1630223	ERX1700556	HP1502401_E7_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630223/HP1502401_E7.fastq.gz	HP1502401_E7	SAMEA4437231
ERR1630225	ERX1700558	HP1502401_E9_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630225/HP1502401_E9.fastq.gz	HP1502401_E9	SAMEA4437233
ERR1630227	ERX1700560	HP1502401_F10_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630227/HP1502401_F10.fastq.gz	HP1502401_F10	SAMEA4437235
ERR1630232	ERX1700565	HP1502401_F15_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630232/HP1502401_F15.fastq.gz	HP1502401_F15	SAMEA4437240
ERR1630234	ERX1700567	HP1502401_F17_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630234/HP1502401_F17.fastq.gz	HP1502401_F17	SAMEA4437242
ERR1630235	ERX1700568	HP1502401_F18_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630235/HP1502401_F18.fastq.gz	HP1502401_F18	SAMEA4437243
ERR1630236	ERX1700569	HP1502401_F19_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630236/HP1502401_F19.fastq.gz	HP1502401_F19	SAMEA4437244
ERR1630246	ERX1700579	HP1502401_F6_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630246/HP1502401_F6.fastq.gz	HP1502401_F6	SAMEA4437254
ERR1630248	ERX1700581	HP1502401_F8_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630248/HP1502401_F8.fastq.gz	HP1502401_F8	SAMEA4437256
ERR1630252	ERX1700585	HP1502401_G11_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630252/HP1502401_G11.fastq.gz	HP1502401_G11	SAMEA4437260
ERR1630254	ERX1700587	HP1502401_G14_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630254/HP1502401_G14.fastq.gz	HP1502401_G14	SAMEA4437262
ERR1630257	ERX1700590	HP1502401_G17_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630257/HP1502401_G17.fastq.gz	HP1502401_G17	SAMEA4437265
ERR1630258	ERX1700591	HP1502401_G18_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630258/HP1502401_G18.fastq.gz	HP1502401_G18	SAMEA4437266
ERR1630259	ERX1700592	HP1502401_G19_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630259/HP1502401_G19.fastq.gz	HP1502401_G19	SAMEA4437267
ERR1630260	ERX1700593	HP1502401_G2_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630260/HP1502401_G2.fastq.gz	HP1502401_G2	SAMEA4437268
ERR1630263	ERX1700596	HP1502401_G22_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630263/HP1502401_G22.fastq.gz	HP1502401_G22	SAMEA4437271
ERR1630271	ERX1700604	HP1502401_G8_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630271/HP1502401_G8.fastq.gz	HP1502401_G8	SAMEA4437279
ERR1630272	ERX1700605	HP1502401_G9_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630272/HP1502401_G9.fastq.gz	HP1502401_G9	SAMEA4437280
ERR1630273	ERX1700606	HP1502401_H1_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630273/HP1502401_H1.fastq.gz	HP1502401_H1	SAMEA4437281
ERR1630274	ERX1700607	HP1502401_H10_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630274/HP1502401_H10.fastq.gz	HP1502401_H10	SAMEA4437282
ERR1630276	ERX1700609	HP1502401_H12_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630276/HP1502401_H12.fastq.gz	HP1502401_H12	SAMEA4437284
ERR1630284	ERX1700617	HP1502401_H2_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630284/HP1502401_H2.fastq.gz	HP1502401_H2	SAMEA4437292
ERR1630290	ERX1700623	HP1502401_H3_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630290/HP1502401_H3.fastq.gz	HP1502401_H3	SAMEA4437298
ERR1630298	ERX1700631	HP1502401_I10_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630298/HP1502401_I10.fastq.gz	HP1502401_I10	SAMEA4437306
ERR1630301	ERX1700634	HP1502401_I14_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630301/HP1502401_I14.fastq.gz	HP1502401_I14	SAMEA4437309
ERR1630302	ERX1700635	HP1502401_I15_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630302/HP1502401_I15.fastq.gz	HP1502401_I15	SAMEA4437310
ERR1630307	ERX1700640	HP1502401_I2_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630307/HP1502401_I2.fastq.gz	HP1502401_I2	SAMEA4437315
ERR1630309	ERX1700642	HP1502401_I21_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630309/HP1502401_I21.fastq.gz	HP1502401_I21	SAMEA4437317
ERR1630310	ERX1700643	HP1502401_I22_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630310/HP1502401_I22.fastq.gz	HP1502401_I22	SAMEA4437318
ERR1630311	ERX1700644	HP1502401_I23_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630311/HP1502401_I23.fastq.gz	HP1502401_I23	SAMEA4437319
ERR1630312	ERX1700645	HP1502401_I24_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630312/HP1502401_I24.fastq.gz	HP1502401_I24	SAMEA4437320
ERR1630313	ERX1700646	HP1502401_I3_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630313/HP1502401_I3.fastq.gz	HP1502401_I3	SAMEA4437321
ERR1630314	ERX1700647	HP1502401_I4_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630314/HP1502401_I4.fastq.gz	HP1502401_I4	SAMEA4437322
ERR1630315	ERX1700648	HP1502401_I5_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630315/HP1502401_I5.fastq.gz	HP1502401_I5	SAMEA4437323
ERR1630316	ERX1700649	HP1502401_I6_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630316/HP1502401_I6.fastq.gz	HP1502401_I6	SAMEA4437324
ERR1630320	ERX1700653	HP1502401_J1_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630320/HP1502401_J1.fastq.gz	HP1502401_J1	SAMEA4437328
ERR1630328	ERX1700661	HP1502401_J17_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630328/HP1502401_J17.fastq.gz	HP1502401_J17	SAMEA4437336
ERR1630330	ERX1700663	HP1502401_J19_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630330/HP1502401_J19.fastq.gz	HP1502401_J19	SAMEA4437338
ERR1630331	ERX1700664	HP1502401_J2_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630331/HP1502401_J2.fastq.gz	HP1502401_J2	SAMEA4437339
ERR1630332	ERX1700665	HP1502401_J20_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630332/HP1502401_J20.fastq.gz	HP1502401_J20	SAMEA4437340
ERR1630336	ERX1700669	HP1502401_J24_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630336/HP1502401_J24.fastq.gz	HP1502401_J24	SAMEA4437344
ERR1630337	ERX1700670	HP1502401_J3_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630337/HP1502401_J3.fastq.gz	HP1502401_J3	SAMEA4437345
ERR1630338	ERX1700671	HP1502401_J4_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630338/HP1502401_J4.fastq.gz	HP1502401_J4	SAMEA4437346
ERR1630341	ERX1700674	HP1502401_J7_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630341/HP1502401_J7.fastq.gz	HP1502401_J7	SAMEA4437349
ERR1630343	ERX1700676	HP1502401_J9_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630343/HP1502401_J9.fastq.gz	HP1502401_J9	SAMEA4437351
ERR1630344	ERX1700677	HP1502401_K1_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630344/HP1502401_K1.fastq.gz	HP1502401_K1	SAMEA4437352
ERR1630345	ERX1700678	HP1502401_K10_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630345/HP1502401_K10.fastq.gz	HP1502401_K10	SAMEA4437353
ERR1630349	ERX1700682	HP1502401_K15_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630349/HP1502401_K15.fastq.gz	HP1502401_K15	SAMEA4437357
ERR1630350	ERX1700683	HP1502401_K16_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630350/HP1502401_K16.fastq.gz	HP1502401_K16	SAMEA4437358
ERR1630360	ERX1700693	HP1502401_K3_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630360/HP1502401_K3.fastq.gz	HP1502401_K3	SAMEA4437368
ERR1630366	ERX1700699	HP1502401_K9_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630366/HP1502401_K9.fastq.gz	HP1502401_K9	SAMEA4437374
ERR1630367	ERX1700700	HP1502401_L1_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630367/HP1502401_L1.fastq.gz	HP1502401_L1	SAMEA4437375
ERR1630368	ERX1700701	HP1502401_L10_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630368/HP1502401_L10.fastq.gz	HP1502401_L10	SAMEA4437376
ERR1630371	ERX1700704	HP1502401_L13_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630371/HP1502401_L13.fastq.gz	HP1502401_L13	SAMEA4437379
ERR1630372	ERX1700705	HP1502401_L14_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630372/HP1502401_L14.fastq.gz	HP1502401_L14	SAMEA4437380
ERR1630373	ERX1700706	HP1502401_L15_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630373/HP1502401_L15.fastq.gz	HP1502401_L15	SAMEA4437381
ERR1630375	ERX1700708	HP1502401_L17_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630375/HP1502401_L17.fastq.gz	HP1502401_L17	SAMEA4437383
ERR1630379	ERX1700712	HP1502401_L20_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630379/HP1502401_L20.fastq.gz	HP1502401_L20	SAMEA4437387
ERR1630380	ERX1700713	HP1502401_L21_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630380/HP1502401_L21.fastq.gz	HP1502401_L21	SAMEA4437388
ERR1630383	ERX1700716	HP1502401_L24_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630383/HP1502401_L24.fastq.gz	HP1502401_L24	SAMEA4437391
ERR1630384	ERX1700717	HP1502401_L3_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630384/HP1502401_L3.fastq.gz	HP1502401_L3	SAMEA4437392
ERR1630385	ERX1700718	HP1502401_L4_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630385/HP1502401_L4.fastq.gz	HP1502401_L4	SAMEA4437393
ERR1630386	ERX1700719	HP1502401_L5_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630386/HP1502401_L5.fastq.gz	HP1502401_L5	SAMEA4437394
ERR1630387	ERX1700720	HP1502401_L6_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630387/HP1502401_L6.fastq.gz	HP1502401_L6	SAMEA4437395
ERR1630390	ERX1700723	HP1502401_L9_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630390/HP1502401_L9.fastq.gz	HP1502401_L9	SAMEA4437398
ERR1630391	ERX1700724	HP1502401_M1_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630391/HP1502401_M1.fastq.gz	HP1502401_M1	SAMEA4437399
ERR1630392	ERX1700725	HP1502401_M10_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630392/HP1502401_M10.fastq.gz	HP1502401_M10	SAMEA4437400
ERR1630393	ERX1700726	HP1502401_M11_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630393/HP1502401_M11.fastq.gz	HP1502401_M11	SAMEA4437401
ERR1630398	ERX1700731	HP1502401_M17_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630398/HP1502401_M17.fastq.gz	HP1502401_M17	SAMEA4437406
ERR1630399	ERX1700732	HP1502401_M18_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630399/HP1502401_M18.fastq.gz	HP1502401_M18	SAMEA4437407
ERR1630400	ERX1700733	HP1502401_M19_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630400/HP1502401_M19.fastq.gz	HP1502401_M19	SAMEA4437408
ERR1630408	ERX1700741	HP1502401_M4_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630408/HP1502401_M4.fastq.gz	HP1502401_M4	SAMEA4437416
ERR1630415	ERX1700748	HP1502401_N10_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630415/HP1502401_N10.fastq.gz	HP1502401_N10	SAMEA4437423
ERR1630422	ERX1700755	HP1502401_N17_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630422/HP1502401_N17.fastq.gz	HP1502401_N17	SAMEA4437430
ERR1630424	ERX1700757	HP1502401_N19_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630424/HP1502401_N19.fastq.gz	HP1502401_N19	SAMEA4437432
ERR1630425	ERX1700758	HP1502401_N2_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630425/HP1502401_N2.fastq.gz	HP1502401_N2	SAMEA4437433
ERR1630428	ERX1700761	HP1502401_N22_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630428/HP1502401_N22.fastq.gz	HP1502401_N22	SAMEA4437436
ERR1630431	ERX1700764	HP1502401_N3_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630431/HP1502401_N3.fastq.gz	HP1502401_N3	SAMEA4437439
ERR1630436	ERX1700769	HP1502401_N8_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630436/HP1502401_N8.fastq.gz	HP1502401_N8	SAMEA4437444
ERR1630447	ERX1700780	HP1502401_O19_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630447/HP1502401_O19.fastq.gz	HP1502401_O19	SAMEA4437455
ERR1630449	ERX1700782	HP1502401_O20_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630449/HP1502401_O20.fastq.gz	HP1502401_O20	SAMEA4437457
ERR1630456	ERX1700789	HP1502401_O5_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630456/HP1502401_O5.fastq.gz	HP1502401_O5	SAMEA4437464
ERR1630460	ERX1700793	HP1502401_O9_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630460/HP1502401_O9.fastq.gz	HP1502401_O9	SAMEA4437468
ERR1630461	ERX1700794	HP1504101T2D_A1_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630461/HP1504101T2D_A1.fastq.gz	HP1504101T2D_A1	SAMEA4437469
